Proteins,"Genes of polypeptide, complex, or RNA",Common-Name,Locations
G185E-6809-MONOMER,G185E-6809,conserved hypothetical alanine and leucine rich protein,CCI-PM-BAC-ACT-GP
G185E-5389-MONOMER,G185E-5389,probable transcriptional regulatory protein,CCI-CYTOSOL-GP
G185E-7182-MONOMER,G185E-7182,hypothetical protein,
G185E-5767-MONOMER,G185E-5767,probable PhiRv1 phage protein,
G185E-4362-MONOMER,G185E-4362,probable 3-hydroxyacyl-thioester dehydratase,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-7559-MONOMER,G185E-7559,acetyl/propionyl-CoA carboxylase &alpha; chain,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-6140-MONOMER,G185E-6140,possible antitoxin,
G185E-7931-MONOMER,G185E-7931,triple sensor-domain protein,CCI-CYTOSOL-GP
G185E-6520-MONOMER,G185E-6520,conserved protein,CCI-CW-BAC-ACT-GP
G185E-4616-MONOMER,G185E-4616,conserved hypothetical protein,CCI-CYTOSOL-GP
G185E-4996-MONOMER,G185E-4996,probable conserved integral membrane protein,CCI-PM-BAC-ACT-GP
G185E-6791-MONOMER,G185E-6791,conserved hypothetical protein,CCI-PM-BAC-ACT-GP
G185E-5373-MONOMER,G185E-5373,hypothetical protein,
G185E-7165-MONOMER,G185E-7165,possible D-amino acid aminohydrolase,CCI-CYTOSOL-GP
G185E-5751-MONOMER,G185E-5751,maltooligosyltrehalose synthase,CCI-CYTOSOL-GP
G185E-4346-MONOMER,G185E-4346,probable conserved transmembrane protein,CCI-PM-BAC-ACT-GP
G185E-7543-MONOMER,G185E-7543,conserved protein,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-6124-MONOMER,G185E-6124,conserved hypothetical protein,
G185E-7914-MONOMER,G185E-7914,probable conserved transmembrane protein,CCI-PM-BAC-ACT-GP
G185E-6504-MONOMER,G185E-6504,conserved hypothetical protein,CCI-CYTOSOL-GP
G185E-4599-MONOMER,G185E-4599,hypothetical protein,
G185E-4976-MONOMER,G185E-4976,conserved hypothetical protein,CCI-PM-BAC-ACT-GP
G185E-6775-MONOMER,G185E-6775,probable conserved transmembrane protein,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-5356-MONOMER,G185E-5356,probable pyrroline-5-carboxylate dehydrogenase,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-7149-MONOMER,G185E-7149,conserved hypothetical protein,CCI-PM-BAC-ACT-GP
G185E-5735-MONOMER,G185E-5735,probable DNA polymerase III (alpha chain),CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4330-MONOMER,G185E-4330,hypothetical protein,CCI-CYTOSOL-GP // CCO-MEMBRANE
G185E-7527-MONOMER,G185E-7527,possible cationic amino acid transport integral membrane protein,CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-6108-MONOMER,G185E-6108,probable lipoprotein,CCI-CW-BAC-ACT-GP // CCI-PERI-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-7898-MONOMER,G185E-7898,putative ESAT-6 like protein,CCI-CW-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-6488-MONOMER,G185E-6488,conserved hypothetical protein,CCI-CYTOSOL-GP
G185E-4583-MONOMER,G185E-4583,possible antitoxin,
G185E-4959-MONOMER,G185E-4959,conserved hypothetical protein,
G185E-6759-MONOMER,G185E-6759,probable bacterioferritin comigratory protein,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-5339-MONOMER,G185E-5339,<i>N</i>-acetyl-1-D-<i>myo</i>-inositol-2-amino-2-deoxy-&alpha;-D-glucopyranoside deacetylase monomer,CCI-PM-BAC-ACT-GP
G185E-7133-MONOMER,G185E-7133,probable integral membrane phosphatidate cytidylyltransferase,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-5719-MONOMER,G185E-5719,conserved protein,
G185E-4314-MONOMER,G185E-4314,probable transmembrane multidrug efflux pump,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-7511-MONOMER,G185E-7511,conserved protein,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-6092-MONOMER,G185E-6092,possible dehydrogenase,CCI-CYTOSOL-GP
G185E-7882-MONOMER,G185E-7882,conserved hypothetical alanine and leucine rich protein,
G185E-6472-MONOMER,G185E-6472,hypothetical protein,
G185E-4567-MONOMER,G185E-4567,PPE family protein PPE10,CCI-EXTRACELLULAR-GP
G185E-4943-MONOMER,G185E-4943,probable oxidoreductase,CCI-CYTOSOL-GP
G185E-6741-MONOMER,G185E-6741,probable fatty-acid-CoA ligase,CCI-CYTOSOL-GP
G185E-5322-MONOMER,G185E-5322,possible pyridoxamine 5'-phosphate oxidase,CCI-CYTOSOL-GP
G185E-7117-MONOMER,G185E-7117,antitoxin,
G185E-5703-MONOMER,G185E-5703,conserved hypothetical protein,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-4298-MONOMER,G185E-4298,probable conserved transmembrane protein,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-7495-MONOMER,G185E-7495,alternative RNA polymerase sigma-E factor (sigma-24),CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-6075-MONOMER,G185E-6075,probable cytochrome P450 140,CCI-PM-BAC-ACT-GP
G185E-7865-MONOMER,G185E-7865,probable conserved membrane protein,CCI-PERI-ACT-GP // CCI-EXTRACELLULAR-GP // CCO-MEMBRANE
G185E-6455-MONOMER,G185E-6455,unknown protein,CCI-EXTRACELLULAR-GP // CCO-MEMBRANE
G185E-4551-MONOMER,G185E-4551,possible transmembrane protein,CCO-MEMBRANE
G185E-4927-MONOMER,G185E-4927,possible conserved transmembrane protein,CCI-PM-BAC-ACT-GP
G185E-6725-MONOMER,G185E-6725,hypothetical alanine rich protein,
G185E-5305-MONOMER,G185E-5305,possible oxidoreductase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-7101-MONOMER,G185E-7101,possible magnesium chelatase,CCI-CYTOSOL-GP
G185E-5687-MONOMER,G185E-5687,conserved hypothetical protein,CCI-CYTOSOL-GP
G185E-4282-MONOMER,G185E-4282,Conserved protein TB18.5,
G185E-7478-MONOMER,G185E-7478,probable transcriptional regulatory protein (probably TetR-family),CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-6059-MONOMER,G185E-6059,conserved protein,
G185E-7849-MONOMER,G185E-7849,3-ketosteroid 9&alpha;-hydroxylase/cholest-4-en-3-one 26-monooxygenase reductase component,
G185E-6437-MONOMER,G185E-6437,conserved protein,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-4535-MONOMER,G185E-4535,serine/threonine-protein kinase,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-4910-MONOMER,G185E-4910,conserved hypothetical protein,CCI-CYTOSOL-GP
G185E-6708-MONOMER,G185E-6708,possible alanine and proline rich membrane protein,CCO-MEMBRANE
G185E-5289-MONOMER,G185E-5289,possible peroxidase,CCI-CYTOSOL-GP
G185E-7085-MONOMER,G185E-7085,probable Sn-glycerol-3-phosphate transport integral membrane protein ABC transporter,CCI-PM-BAC-ACT-GP
G185E-5671-MONOMER,G185E-5671,conserved membrane protein,CCI-PM-BAC-ACT-GP
G185E-4266-MONOMER,G185E-4266,possible quinone oxidoreductase (NADPH:quinone oxidoreductase) (zeta-crystallin),CCI-PM-BAC-ACT-GP
G185E-7462-MONOMER,G185E-7462,conserved hypothetical protein,CCI-CYTOSOL-GP
G185E-6043-MONOMER,G185E-6043,urease gamma subunit,CCI-CYTOSOL-GP
G185E-7833-MONOMER,G185E-7833,3-oxo-acyl CoA thiolase,CCI-CYTOSOL-GP
G185E-6421-MONOMER,G185E-6421,probable aminomethyltransferase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-4519-MONOMER,G185E-4519,hypothetical protein,
G185E-8212-MONOMER,G185E-8212,Thioredoxin,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-4893-MONOMER,G185E-4893,possible antitoxin,
G185E-6690-MONOMER,G185E-6690,probable homocysteine S-methyltransferase,CCI-CYTOSOL-GP
G185E-5273-MONOMER,G185E-5273,probable exodeoxyribonuclease VII (large subunit),CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-7069-MONOMER,G185E-7069,CRISPR type III-associated RAMP protein Csm5,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-5655-MONOMER,G185E-5655,possible enoyl-CoA hydratase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4250-MONOMER,G185E-4250,GCN5-related N-acetyltransferase,CCI-PM-BAC-ACT-GP
G185E-7445-MONOMER,G185E-7445,hypothetical alanine rich protein,
G185E-6027-MONOMER,G185E-6027,probable glycine dehydrogenase subunit,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-7817-MONOMER,G185E-7817,"3-oxo-23,24-bisnorchol-4-en-17-ol-22-oyl-CoA lyase",
G185E-6405-MONOMER,G185E-6405,cytochrome <i>bcc</i> complex Rieske iron-sulfur subunit,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-4503-MONOMER,G185E-4503,calcium dodecin subunit,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-8196-MONOMER,G185E-8196,conserved hypothetical protein,
G185E-4877-MONOMER,G185E-4877,probable preprotein translocase,CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-6674-MONOMER,G185E-6674,50S ribosomal protein L21,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP // CCI-RIBOSOME-GP
G185E-5256-MONOMER,G185E-5256,probable pantothenate kinase,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-7053-MONOMER,G185E-7053,conserved hypothetical protein,
G185E-5639-MONOMER,G185E-5639,probable unidentified antibiotic-transport integral membrane ABC transporter,CCI-PM-BAC-ACT-GP
G185E-4234-MONOMER,G185E-4234,oxidative stress response regulatory protein,CCI-CYTOSOL-GP
G185E-7429-MONOMER,G185E-7429,probable methanol dehydrogenase transcriptional regulatory protein,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-6011-MONOMER,G185E-6011,possible transcriptional regulatory protein,CCI-CYTOSOL-GP // CCO-MEMBRANE
G185E-7801-MONOMER,G185E-7801,probable conserved membrane protein,CCO-MEMBRANE
G185E-6388-MONOMER,G185E-6388,3-deoxy-D-arabino-heptulosonate 7-phosphate synthase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4487-MONOMER,G185E-4487,probable fructose-bisphosphate aldolase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-8180-MONOMER,G185E-8180,ESX conserved component EccE1. ESX-1 type VII secretion system protein. Possible membrane protein.,CCI-PM-BAC-ACT-GP
G185E-4861-MONOMER,G185E-4861,30S ribosomal protein S14,CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
G185E-5240-MONOMER,G185E-5240,probable proline-rich antigen homolog,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-7037-MONOMER,G185E-7037,manganese-dependent transcriptional repressor MntR,CCI-CYTOSOL-GP
G185E-5623-MONOMER,G185E-5623,probable protein-export membrane protein (translocase subunit),CCI-PM-BAC-ACT-GP
G185E-4218-MONOMER,G185E-4218,isonitrile lipopeptide synthase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-7413-MONOMER,G185E-7413,NADH:menaquinone oxidoreductase I chain D,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-5995-MONOMER,G185E-5995,PPE family protein PPE28,CCI-PM-BAC-ACT-GP
G185E-7785-MONOMER,G185E-7785,PE-PGRS family protein PE_PGRS54,CCI-EXTRACELLULAR-GP
G185E-6371-MONOMER,G185E-6371,PE-PGRS family protein PE_PGRS38,CCI-EXTRACELLULAR-GP
G185E-4471-MONOMER,G185E-4471,probable conserved membrane protein,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCO-MEMBRANE
G185E-8164-MONOMER,G185E-8164,ESX-1 secretion-associated protein,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-4845-MONOMER,G185E-4845,50S ribosomal protein L3,CCI-PM-BAC-ACT-GP // CCI-RIBOSOME-GP // CCI-CYTOSOL-GP
G185E-5224-MONOMER,G185E-5224,conserved hypothetical protein,
G185E-7021-MONOMER,G185E-7021,probable conserved transmembrane protein,CCI-PM-BAC-ACT-GP
G185E-5607-MONOMER,G185E-5607,possible membrane protein,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-4202-MONOMER,G185E-4202,putative hydrogenase component,CCI-PM-BAC-ACT-GP
G185E-5977-MONOMER,G185E-5977,probable 4-alpha-glucanotransferase,CCI-CYTOSOL-GP
G185E-7400-MONOMER,G185E-7400,PPE family protein PPE51,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-7768-MONOMER,G185E-7768,unknown protein,
G185E-6355-MONOMER,G185E-6355,Cell division protein SepF,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-4455-MONOMER,G185E-4455,possible dehydrogenase/reductase,CCI-PERI-ACT-GP
G185E-4829-MONOMER,G185E-4829,probable membrane protein,CCI-PM-BAC-ACT-GP
G185E-5206-MONOMER,G185E-5206,hypothetical protein,
G185E-7005-MONOMER,G185E-7005,possible type I restriction/modification system DNA methylase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-5591-MONOMER,G185E-5591,probable ribulose-phosphate 3-epimerase,CCI-CYTOSOL-GP
G185E-4186-MONOMER,G185E-4186,possible maturase,CCI-CYTOSOL-GP
G185E-5961-MONOMER,G185E-5961,putative transposase (fragment),
G185E-7383-MONOMER,G185E-7383,molybdopterin synthase catalytic subunit 1,CCI-CYTOSOL-GP
G185E-7752-MONOMER,G185E-7752,possible transposase for insertion element IS6110 [second part],
G185E-6338-MONOMER,G185E-6338,conserved hypothetical protein,
G185E-8133-MONOMER,G185E-8133,probable phosphoglycerate mutase,CCI-CYTOSOL-GP
G185E-4813-MONOMER,G185E-4813,probable endonuclease IV,CCI-CYTOSOL-GP
G185E-5190-MONOMER,G185E-5190,probable potassium-transporting P-type ATPase B chain,CCI-PM-BAC-ACT-GP
G185E-6989-MONOMER,G185E-6989,epoxide hydrolase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-5575-MONOMER,G185E-5575,probable S-adenosylmethionine synthetase,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-4170-MONOMER,G185E-4170,50S ribosomal protein L9,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-RIBOSOME-GP // CCI-CYTOSOL-GP
G185E-5945-MONOMER,G185E-5945,possible fatty-acid-CoA ligase,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-7367-MONOMER,G185E-7367,hypothetical proline-rich protein,CCI-EXTRACELLULAR-GP // CCO-MEMBRANE
G185E-7736-MONOMER,G185E-7736,30S ribosomal protein S11,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP // CCI-RIBOSOME-GP
G185E-6322-MONOMER,G185E-6322,conserved lipoprotein,CCI-PM-BAC-ACT-GP
G185E-8117-MONOMER,G185E-8117,probable conserved integral membrane protein,CCI-PM-BAC-ACT-GP
G185E-4797-MONOMER,G185E-4797,probable dioxygenase,
G185E-5176-MONOMER,G185E-5176,"bifunctional <i>N</i>-acetyltransferase / uridylyltransferase, GlmU subunit",CCI-CYTOSOL-GP
G185E-6973-MONOMER,G185E-6973,probable GTP-binding protein,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-5559-MONOMER,G185E-5559,conserved hypothetical protein,CCI-CYTOSOL-GP
G185E-4154-MONOMER,G185E-4154,secreted proline rich protein,CCI-EXTRACELLULAR-GP
G185E-5929-MONOMER,G185E-5929,conserved hypothetical protein,
G185E-7350-MONOMER,G185E-7350,putative triacylglycerol synthase,CCI-PM-BAC-ACT-GP // CCI-CW-BAC-ACT-GP
G185E-7720-MONOMER,G185E-7720,50S ribosomal protein L13,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-RIBOSOME-GP // CCI-CYTOSOL-GP
G185E-6303-MONOMER,G185E-6303,prokaryotic ubiquitin-like protein ligase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-8101-MONOMER,G185E-8101,,CCI-PM-BAC-ACT-GP
G185E-4781-MONOMER,G185E-4781,probable preprotein translocase,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-5160-MONOMER,G185E-5160,conserved membrane protein,CCI-PM-BAC-ACT-GP
G185E-6957-MONOMER,G185E-6957,probable conserved transmembrane protein,CCI-PM-BAC-ACT-GP
G185E-5541-MONOMER,G185E-5541,PPE family protein PPE19,CCI-CW-BAC-ACT-GP
G185E-4138-MONOMER,G185E-4138,putative secreted protein P60-related protein,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-7334-MONOMER,G185E-7334,conserved hypothetical protein,
G185E-5914-MONOMER,G185E-5914,possible antitoxin,
G185E-7704-MONOMER,G185E-7704,possible transposase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-6287-MONOMER,G185E-6287,conserved transmembrane protein,CCI-PM-BAC-ACT-GP
G185E-8085-MONOMER,G185E-8085,GTRA family protein,CCI-PM-BAC-ACT-GP
G185E-4762-MONOMER,G185E-4762,possible toxin VapC30. Contains PIN domain.,CCI-CYTOSOL-GP
G185E-5143-MONOMER,G185E-5143,probable adhesion component transport ATP-binding protein ABC transporter,CCI-PM-BAC-ACT-GP
G185E-6941-MONOMER,G185E-6941,probable conserved integral membrane alanine and leucine rich protein,CCI-PM-BAC-ACT-GP
G185E-5524-MONOMER,G185E-5524,long-chain fatty acyl-[acyl-carrier protein] ligase MbtM,CCI-PM-BAC-ACT-GP
G185E-4121-MONOMER,G185E-4121,possible membrane protein,CCI-PM-BAC-ACT-GP
G185E-7317-MONOMER,G185E-7317,possible DNA-damage-inducible protein P,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-5897-MONOMER,G185E-5897,PPE family protein PPE23,CCI-PM-BAC-ACT-GP
G185E-7688-MONOMER,G185E-7688,probable inosine-5'-monophosphate dehydrogenase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-6271-MONOMER,G185E-6271,"probable bifunctional protein, CobI-COBJ fusion protein: S-adenosyl-L-methionine-precorrin-2 methyl transferase + precorrin-3 methylase",CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-8068-MONOMER,G185E-8068,conserved protein,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-6651-MONOMER,G185E-6651,probable nicotinate-nucleotide adenylyltransferase,CCI-CYTOSOL-GP
G185E-4745-MONOMER,G185E-4745,conserved hypothetical protein,
G185E-5127-MONOMER,G185E-5127,probable enoyl-CoA hydratase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-6925-MONOMER,G185E-6925,probable protoporphyrinogen oxidase,CCI-CYTOSOL-GP
G185E-5508-MONOMER,G185E-5508,probable ATP-dependent helicase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-7300-MONOMER,G185E-7300,probable enoyl-CoA hydratase,CCI-PERI-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-5881-MONOMER,G185E-5881,probable lipoprotein,CCI-PM-BAC-ACT-GP
G185E-7672-MONOMER,G185E-7672,probable membrane protein,
G185E-6255-MONOMER,G185E-6255,polyprenyl-phosphate &beta;-<small>D</small>-mannosyltransferase,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-8050-MONOMER,G185E-8050,possible osmoprotectant (glycine betaine/carnitine/choline/L-proline) binding lipoprotein,CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-6635-MONOMER,G185E-6635,conserved protein,CCI-PM-BAC-ACT-GP
G185E-4729-MONOMER,G185E-4729,mce-family protein Mce2F,CCI-CW-BAC-ACT-GP // CCI-EXTRACELLULAR-GP // CCO-MEMBRANE
G185E-5111-MONOMER,G185E-5111,probable 5'-phosphoribosylglycinamide formyltransferase,CCI-CYTOSOL-GP
G185E-6909-MONOMER,G185E-6909,hypothetical protein,
G185E-5488-MONOMER,G185E-5488,"Cob(I)yrinic acid a,c-diamide adenosyltransferase",CCI-CYTOSOL-GP
G185E-7282-MONOMER,G185E-7282,PE family protein PE29,
G185E-5864-MONOMER,G185E-5864,probable transcriptional regulatory protein,CCI-PM-BAC-ACT-GP
G185E-7656-MONOMER,G185E-7656,probable transposase,
G185E-6238-MONOMER,G185E-6238,conserved hypothetical protein,CCI-CYTOSOL-GP
G185E-8033-MONOMER,G185E-8033,probable cation transporter P-type ATPase,CCI-PM-BAC-ACT-GP
G185E-6618-MONOMER,G185E-6618,probable 3'-phosphoadenosine 5'-phosphosulfate reductase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4713-MONOMER,G185E-4713,conserved hypothetical protein,CCI-CYTOSOL-GP
G185E-5094-MONOMER,G185E-5094,"possible bifunctional enzyme: 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (HHDD isomerase) + cyclase/dehydrase",CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-6893-MONOMER,G185E-6893,hypothetical protein,
G185E-5472-MONOMER,G185E-5472,50S ribosomal protein L31,CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
G185E-7264-MONOMER,G185E-7264,probable conserved lipoprotein,
G185E-5848-MONOMER,G185E-5848,probable argininosuccinate synthase,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-7640-MONOMER,G185E-7640,Serine protease inhibitor Rv3364c,CCI-EXTRACELLULAR-GP
G185E-6221-MONOMER,G185E-6221,toxin,
G185E-8017-MONOMER,G185E-8017,possible oxidoreductase,CCI-PM-BAC-ACT-GP
G185E-6602-MONOMER,G185E-6602,low molecular weight antigen,CCI-CW-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-4696-MONOMER,G185E-4696,probable protease transmembrane protein heat shock protein,CCI-PM-BAC-ACT-GP // CCI-EXTRACELLULAR-GP
G185E-5077-MONOMER,G185E-5077,possible transposase,CCI-CYTOSOL-GP
G185E-6873-MONOMER,G185E-6873,conserved protein,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-5455-MONOMER,G185E-5455,probable oligopeptide-transport integral membrane protein ABC transporter,CCI-PM-BAC-ACT-GP
G185E-7246-MONOMER,G185E-7246,conserved protein,CCI-CYTOSOL-GP
G185E-5832-MONOMER,G185E-5832,50S ribosomal protein L35,CCI-RIBOSOME-GP // CCI-CYTOSOL-GP
G185E-4428-MONOMER,G185E-4428,PPE family protein PPE6,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-7624-MONOMER,G185E-7624,probable transposase,
G185E-6204-MONOMER,G185E-6204,possible 20-beta-hydroxysteroid dehydrogenase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-7999-MONOMER,G185E-7999,possible ligase,CCI-CYTOSOL-GP
G185E-6586-MONOMER,G185E-6586,unknown protein,CCI-PM-BAC-ACT-GP
G185E-4680-MONOMER,G185E-4680,possible oxidoreductase,CCI-CYTOSOL-GP
G185E-5060-MONOMER,G185E-5060,conserved protein,CCI-CYTOSOL-GP
G185E-6857-MONOMER,G185E-6857,probable threonyl-tRNA synthetase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-5439-MONOMER,G185E-5439,probable transcriptional regulatory protein,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-7230-MONOMER,G185E-7230,conserved hypothetical protein,
G185E-5816-MONOMER,G185E-5816,probable nonspecific lipid-transfer protein,CCI-CW-BAC-ACT-GP // CCI-PM-BAC-ACT-GP
G185E-4412-MONOMER,G185E-4412,ESX-3 secretion-associated protein,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-7608-MONOMER,G185E-7608,probable N-acetylglucosamine-6-phosphate deacetylase,CCI-CYTOSOL-GP
G185E-6188-MONOMER,G185E-6188,probable 23S rRNA methyltransferase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-7983-MONOMER,G185E-7983,possible antitoxin,
G185E-6570-MONOMER,G185E-6570,probable deoxyguanosine triphosphate triphosphohydrolase,CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4664-MONOMER,G185E-4664,possible conserved membrane protein,CCI-PM-BAC-ACT-GP
G185E-5044-MONOMER,G185E-5044,probable transcriptional regulatory protein (probably LuxR-family),CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-6841-MONOMER,G185E-6841,probable conserved membrane protein,CCI-EXTRACELLULAR-GP // CCO-MEMBRANE
G185E-5422-MONOMER,G185E-5422,conserved hypothetical protein,CCI-CYTOSOL-GP
G185E-7214-MONOMER,G185E-7214,hypothetical protein,
G185E-5799-MONOMER,G185E-5799,probable indole-3-glycerol phosphate synthase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-4395-MONOMER,G185E-4395,possible transcriptional regulatory protein,CCI-CYTOSOL-GP
G185E-7591-MONOMER,G185E-7591,succinate:menaquinone oxidoreductase II subunit C,CCI-PM-BAC-ACT-GP
G185E-6172-MONOMER,G185E-6172,possible conserved Mce associated membrane protein,CCI-OUTER-MEM-ACT-GP
G185E-7966-MONOMER,G185E-7966,probable bifunctional membrane-associated penicillin-binding protein 1A/1B,
G185E-6553-MONOMER,G185E-6553,NarK family protein,CCI-PM-BAC-ACT-GP
G185E-4648-MONOMER,G185E-4648,possible anti-anti-sigma factor,
G185E-5028-MONOMER,G185E-5028,conserved hypothetical protein,CCI-PM-BAC-ACT-GP
G185E-6825-MONOMER,G185E-6825,probable GTP pyrophosphokinase,CCI-CW-BAC-ACT-GP // CCI-CYTOSOL-GP // CCI-PM-BAC-ACT-GP
G185E-5406-MONOMER,G185E-5406,trehalose-binding lipoprotein,CCI-PM-BAC-ACT-GP
G185E-7198-MONOMER,G185E-7198,possible transposase for insertion sequence element IS1533,CCI-CYTOSOL-GP
G185E-5783-MONOMER,G185E-5783,probable L-aspartate oxidase,CCI-CYTOSOL-GP
G185E-4379-MONOMER,G185E-4379,conserved hypothetical protein,
G185E-7575-MONOMER,G185E-7575,probable phosphate-transport system transcriptional regulatory protein PhoU homolog 1,CCI-PM-BAC-ACT-GP // CCI-CYTOSOL-GP
G185E-6156-MONOMER,G185E-6156,hypothetical protein,
