Proteins	Common-Name	Locations	Genes of polypeptide, complex, or RNA
SYNPCC7942_0278-MONOMER	NAD-reducing hydrogenase HoxS &epsilon; subunit		SYNPCC7942_0278
SYNPCC7942_1768-MONOMER	conserved hypothetical protein		SYNPCC7942_1768
SYNPCC7942_0646-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0646
SYNPCC7942_2398-MONOMER	Holliday junction resolvase YqgF	CCI-CYTOSOL-GN	SYNPCC7942_2398
SYNPCC7942_1013-MONOMER	hypothetical protein		SYNPCC7942_1013
SYNPCC7942_1382-MONOMER	diguanylate cyclase/phosphodiesterase (GGDEF &amp; EAL domains) with PAS/PAC sensor(s)	CCI-PM-BAC-NEG-GN	SYNPCC7942_1382
SYNPCC7942_0262-MONOMER	diaminopimelate decarboxylase		SYNPCC7942_0262
SYNPCC7942_1752-MONOMER	Armadillo:PBS lyase HEAT-like repeat	CCI-THY-MEM-CYA-GN	SYNPCC7942_1752
SYNPCC7942_0630-MONOMER	hypothetical protein		SYNPCC7942_0630
SYNPCC7942_2382-MONOMER	Putative oxygen-independent coproporphyrinogen III oxidase	CCI-CYTOSOL-GN	SYNPCC7942_2382
SYNPCC7942_0997-MONOMER	50S ribosomal subunit protein L32	CCI-RIBOSOME-GN	SYNPCC7942_0997
SYNPCC7942_1369-MONOMER	recombination protein RecR		SYNPCC7942_1369
SYNPCC7942_0246-MONOMER	ABC-type amino acid transport system, extracellular solute-binding protein		SYNPCC7942_0246
SYNPCC7942_1736-MONOMER	FeS assembly ATPase SufC		SYNPCC7942_1736
SYNPCC7942_0614-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0614
SYNPCC7942_2366-MONOMER	hypothetical protein		SYNPCC7942_2366
SYNPCC7942_0981-MONOMER	conserved hypothetical protein		SYNPCC7942_0981
SYNPCC7942_1353-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1353
SYNPCC7942_0230-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0230
SYNPCC7942_1720-MONOMER	conserved hypothetical protein		SYNPCC7942_1720
SYNPCC7942_0598-MONOMER	Peptidoglycan-binding LysM		SYNPCC7942_0598
SYNPCC7942_2088-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2088
SYNPCC7942_2350-MONOMER	Translation factor SUA5		SYNPCC7942_2350
SYNPCC7942_0965-MONOMER	ammonium transporter protein Amt1-like		SYNPCC7942_0965
SYNPCC7942_1337-MONOMER	Integrin &alpha; chain	CCI-PM-BAC-NEG-GN	SYNPCC7942_1337
SYNPCC7942_0214-MONOMER	conserved hypothetical protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_0214
SYNPCC7942_1704-MONOMER	conserved hypothetical protein		SYNPCC7942_1704
SYNPCC7942_0582-MONOMER	conserved hypothetical protein		SYNPCC7942_0582
SYNPCC7942_2072-MONOMER	heat shock protein GrpE	CCI-CYTOSOL-GN	SYNPCC7942_2072
SYNPCC7942_2334-MONOMER	glucose-6-phosphate 1-dehydrogenase subunit		SYNPCC7942_2334
SYNPCC7942_0949-MONOMER	sugar ABC transporter, permease subunit	CCI-PM-BAC-NEG-GN	SYNPCC7942_0949
SYNPCC7942_1321-MONOMER	conserved hypothetical protein		SYNPCC7942_1321
SYNPCC7942_0198-MONOMER	type 2 NADH dehydrogenase NdbC monomer	CCO-MEMBRANE	SYNPCC7942_0198
SYNPCC7942_1688-MONOMER	thiosulfate ABC transporter, permease protein CysV	CCI-PM-BAC-NEG-GN	SYNPCC7942_1688
SYNPCC7942_0566-MONOMER	HAD-superfamily hydrolase subfamily IIB		SYNPCC7942_0566
SYNPCC7942_2056-MONOMER	hypothetical protein		SYNPCC7942_2056
SYNPCC7942_2318-MONOMER	conserved hypothetical protein		SYNPCC7942_2318
SYNPCC7942_0933-MONOMER	conserved hypothetical protein		SYNPCC7942_0933
SYNPCC7942_1305-MONOMER	ATPase		SYNPCC7942_1305
SYNPCC7942_0182-MONOMER	hypothetical protein		SYNPCC7942_0182
SYNPCC7942_1672-MONOMER	putative carboxypeptidase	CCO-MEMBRANE	SYNPCC7942_1672
SYNPCC7942_0550-MONOMER	hypothetical protein		SYNPCC7942_0550
SYNPCC7942_2040-MONOMER	sugar fermentation stimulation protein		SYNPCC7942_2040
SYNPCC7942_2302-MONOMER	conserved hypothetical protein		SYNPCC7942_2302
SYNPCC7942_0917-MONOMER	conserved hypothetical protein		SYNPCC7942_0917
SYNPCC7942_1289-MONOMER	putative modulator of DNA gyrase		SYNPCC7942_1289
SYNPCC7942_0166-MONOMER	conserved hypothetical protein		SYNPCC7942_0166
SYNPCC7942_1656-MONOMER	catalase/peroxidase monomer		SYNPCC7942_1656
SYNPCC7942_0534-MONOMER	glucosamine--fructose-6-phosphate aminotransferase, isomerizing	CCI-CYTOSOL-GN	SYNPCC7942_0534
SYNPCC7942_2024-MONOMER	conserved hypothetical protein		SYNPCC7942_2024
SYNPCC7942_2286-MONOMER	conserved hypothetical protein		SYNPCC7942_2286
SYNPCC7942_0901-MONOMER	Haloalkane dehalogenase		SYNPCC7942_0901
SYNPCC7942_B2655-MONOMER	conserved hypothetical protein		SYNPCC7942_B2655
SYNPCC7942_1273-MONOMER	Protein of unknown function UPF0031		SYNPCC7942_1273
SYNPCC7942_0150-MONOMER	Dolichyl-phosphate beta-D-mannosyltransferase	CCO-MEMBRANE	SYNPCC7942_0150
SYNPCC7942_1640-MONOMER	conserved hypothetical protein		SYNPCC7942_1640
SYNPCC7942_0518-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0518
SYNPCC7942_2008-MONOMER	conserved hypothetical protein		SYNPCC7942_2008
SYNPCC7942_2270-MONOMER	glucanase		SYNPCC7942_2270
SYNPCC7942_0885-MONOMER	translation elongation factor G Small GTP-binding protein domain	CCI-CYTOSOL-GN	SYNPCC7942_0885
SYNPCC7942_B2639-MONOMER	conserved hypothetical protein		SYNPCC7942_B2639
SYNPCC7942_1257-MONOMER	chloride channel-like	CCO-MEMBRANE	SYNPCC7942_1257
SYNPCC7942_0134-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0134
SYNPCC7942_1624-MONOMER	riboflavin synthase, alpha subunit		SYNPCC7942_1624
SYNPCC7942_0502-MONOMER	conserved hypothetical protein		SYNPCC7942_0502
SYNPCC7942_1992-MONOMER	Methylthioribose-1-phosphate isomerase		SYNPCC7942_1992
SYNPCC7942_2254-MONOMER	conserved hypothetical protein		SYNPCC7942_2254
SYNPCC7942_0869-MONOMER	conserved hypothetical protein		SYNPCC7942_0869
SYNPCC7942_B2623-MONOMER	cysteine synthase A		SYNPCC7942_B2623
SYNPCC7942_1241-MONOMER	nitrite reductase related protein		SYNPCC7942_1241
SYNPCC7942_0117-MONOMER	thiol methyltransferase 1-like		SYNPCC7942_0117
SYNPCC7942_1608-MONOMER	Mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase		SYNPCC7942_1608
SYNPCC7942_0486-MONOMER	dihydroorotase		SYNPCC7942_0486
SYNPCC7942_1976-MONOMER	ferredoxin-plastoquinone oxidoreductase subunit D1	CCI-THY-MEM-CYA-GN	SYNPCC7942_1976
SYNPCC7942_2238-MONOMER	glucose transport protein	CCO-MEMBRANE	SYNPCC7942_2238
SYNPCC7942_0853-MONOMER	probable aminotransferase		SYNPCC7942_0853
SYNPCC7942_2606-MONOMER	threonyl-tRNA synthetase	CCI-CYTOSOL-GN	SYNPCC7942_2606
SYNPCC7942_1225-MONOMER	phycocyanobilin:ferredoxin oxidoreductase		SYNPCC7942_1225
SYNPCC7942_0101-MONOMER	type 2 NADH dehydrogenase NdbA monomer		SYNPCC7942_0101
SYNPCC7942_1592-MONOMER	creatinine amidohydrolase		SYNPCC7942_1592
SYNPCC7942_0470-MONOMER	conserved hypothetical protein		SYNPCC7942_0470
SYNPCC7942_1960-MONOMER	conserved hypothetical protein		SYNPCC7942_1960
SYNPCC7942_2222-MONOMER	50S ribosomal subunit protein L14	CCI-RIBOSOME-GN	SYNPCC7942_2222
SYNPCC7942_0836-MONOMER	conserved hypothetical protein		SYNPCC7942_0836
SYNPCC7942_2590-MONOMER	pilin-like protein-like		SYNPCC7942_2590
SYNPCC7942_1209-MONOMER	conserved hypothetical protein		SYNPCC7942_1209
SYNPCC7942_0085-MONOMER	HAD-superfamily hydrolase subfamily IA, variant 3		SYNPCC7942_0085
SYNPCC7942_1576-MONOMER	putative chloride channel protein, CIC family	CCO-MEMBRANE	SYNPCC7942_1576
SYNPCC7942_0454-MONOMER	cobalamin 5'-phosphate synthase	CCI-PM-BAC-NEG-GN	SYNPCC7942_0454
SYNPCC7942_1944-MONOMER	pyruvate dehydrogenase complex E1 component &alpha; subunit	CCI-CYTOSOL-GN	GCEQ-2175
SYNPCC7942_2206-MONOMER	50S ribosomal subunit protein L13	CCI-RIBOSOME-GN	SYNPCC7942_2206
SYNPCC7942_0819-MONOMER	phosphoribosylformylglycinamidine synthase I	CCI-CYTOSOL-GN	SYNPCC7942_0819
SYNPCC7942_2574-MONOMER	ABC-type manganese transport system ATP-binding protein		SYNPCC7942_2574
SYNPCC7942_1193-MONOMER	Phospholipid/glycerol acyltransferase		SYNPCC7942_1193
SYNPCC7942_0069-MONOMER	hypothetical protein		SYNPCC7942_0069
SYNPCC7942_1560-MONOMER	conserved hypothetical protein		SYNPCC7942_1560
SYNPCC7942_0438-MONOMER	hypothetical protein		SYNPCC7942_0438
SYNPCC7942_1928-MONOMER	conserved hypothetical protein		SYNPCC7942_1928
SYNPCC7942_2190-MONOMER	Methionine sulfoxide reductase B		SYNPCC7942_2190
SYNPCC7942_0803-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0803
SYNPCC7942_2558-MONOMER	cysteine desulfurase NifS		SYNPCC7942_2558
SYNPCC7942_1177-MONOMER	PsbE	CCI-CYTOSOL-GN // CCI-THY-MEM-CYA-GN	SYNPCC7942_1177
SYNPCC7942_0053-MONOMER	conserved hypothetical protein		SYNPCC7942_0053
SYNPCC7942_1544-MONOMER	panthotenate metabolism flavoprotein		SYNPCC7942_1544
SYNPCC7942_0422-MONOMER	conserved hypothetical protein		SYNPCC7942_0422
SYNPCC7942_1912-MONOMER	regulatory protein PhoU	CCI-CYTOSOL-GN	SYNPCC7942_1912
SYNPCC7942_2174-MONOMER	IdiB		SYNPCC7942_2174
SYNPCC7942_0787-MONOMER	putative purple acid phosphatase		SYNPCC7942_0787
SYNPCC7942_2542-MONOMER	putative cytochrome C6-2	CCI-THY-LUM-CYA-GN	SYNPCC7942_2542
SYNPCC7942_1161-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1161
SYNPCC7942_0037-MONOMER	hypothetical protein		SYNPCC7942_0037
SYNPCC7942_1527-MONOMER	nitrogen assimilation regulatory protein	CCO-MEMBRANE	SYNPCC7942_1527
SYNPCC7942_0406-MONOMER	conserved hypothetical protein		SYNPCC7942_0406
SYNPCC7942_1896-MONOMER	arginine biosynthesis bifunctional protein ArgJ	CCI-CYTOSOL-GN	SYNPCC7942_1896
SYNPCC7942_2158-MONOMER	allophycocyanin &beta; 18.5 subunit	CCI-THY-MEM-CYA-GN	SYNPCC7942_2158
SYNPCC7942_0771-MONOMER	conserved hypothetical protein		SYNPCC7942_0771
SYNPCC7942_2526-MONOMER	ClpX		SYNPCC7942_2526
SYNPCC7942_1145-MONOMER	Glutaredoxin-related protein		SYNPCC7942_1145
SYNPCC7942_0021-MONOMER	precorrin-6x reductase		SYNPCC7942_0021
SYNPCC7942_1511-MONOMER	conserved hypothetical protein		SYNPCC7942_1511
SYNPCC7942_0390-MONOMER	chromate transporter	CCI-PM-BAC-NEG-GN	SYNPCC7942_0390
SYNPCC7942_1880-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1880
SYNPCC7942_2142-MONOMER	probable translation initiation factor SUI1		SYNPCC7942_2142
SYNPCC7942_0755-MONOMER	conserved hypothetical protein		SYNPCC7942_0755
SYNPCC7942_2510-MONOMER	translation initiation factor IF-1		SYNPCC7942_2510
SYNPCC7942_1129-MONOMER	conserved hypothetical protein		SYNPCC7942_1129
SYNPCC7942_0005-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0005
SYNPCC7942_1494-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1494
SYNPCC7942_0374-MONOMER	hypothetical protein		SYNPCC7942_0374
SYNPCC7942_1864-MONOMER	conserved hypothetical protein		SYNPCC7942_1864
SYNPCC7942_2126-MONOMER	conserved hypothetical protein		SYNPCC7942_2126
SYNPCC7942_0739-MONOMER	conserved hypothetical protein		SYNPCC7942_0739
SYNPCC7942_2494-MONOMER	branched-chain amino acid ABC transporter integral membrane protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_2494
SYNPCC7942_1113-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1113
MONOMER490-10	hypothetical protein		G490-5
SYNPCC7942_1478-MONOMER	cytochrome CytM	CCO-MEMBRANE	SYNPCC7942_1478
SYNPCC7942_0358-MONOMER	bicarbonate transport induction protein		SYNPCC7942_0358
SYNPCC7942_1848-MONOMER	Aspartate-semialdehyde dehydrogenase		SYNPCC7942_1848
SYNPCC7942_2110-MONOMER	methionyl-tRNA formyltransferase		SYNPCC7942_2110
SYNPCC7942_0723-MONOMER	conserved hypothetical protein		SYNPCC7942_0723
SYNPCC7942_2478-MONOMER	PsbW	CCI-THY-MEM-CYA-GN	SYNPCC7942_2478
SYNPCC7942_1097-MONOMER	conserved hypothetical protein		SYNPCC7942_1097
SYNPCC7942_1462-MONOMER	iron-regulated protein A	CCI-PM-BAC-NEG-GN	SYNPCC7942_1462
SYNPCC7942_0342-MONOMER	hypothetical protein		SYNPCC7942_0342
SYNPCC7942_1832-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1832
SYNPCC7942_0707-MONOMER	arginine decarboxylase		SYNPCC7942_0707
SYNPCC7942_2462-MONOMER	<small>D</small>-ribulokinase		SYNPCC7942_2462
SYNPCC7942_1081-MONOMER	conserved hypothetical protein		SYNPCC7942_1081
SYNPCC7942_1446-MONOMER	conserved hypothetical protein		SYNPCC7942_1446
SYNPCC7942_0326-MONOMER	allophycocyanin &beta; subunit	CCI-THY-MEM-CYA-GN	SYNPCC7942_0326
SYNPCC7942_1816-MONOMER	periplasmic sensor hybrid histidine kinase	CCI-PM-BAC-NEG-GN	SYNPCC7942_1816
SYNPCC7942_0691-MONOMER	hypothetical protein		SYNPCC7942_0691
SYNPCC7942_2446-MONOMER	methionine aminopeptidase, type I		SYNPCC7942_2446
SYNPCC7942_1065-MONOMER	DNA/RNA helicase, DEAD/DEAH box type		SYNPCC7942_1065
SYNPCC7942_1430-MONOMER	conserved hypothetical protein		SYNPCC7942_1430
SYNPCC7942_0310-MONOMER	4-diphosphocytidyl-2C-methyl-D-erythritol kinase		SYNPCC7942_0310
SYNPCC7942_1800-MONOMER	conserved hypothetical protein	CCI-PERI-BAC-GN	SYNPCC7942_1800
SYNPCC7942_0675-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0675
SYNPCC7942_2430-MONOMER	tRNA (guanine-N(2)-)-methyltransferase		SYNPCC7942_2430
SYNPCC7942_1045-MONOMER	amidase enhancer-like		SYNPCC7942_1045
SYNPCC7942_1414-MONOMER	ATPase		SYNPCC7942_1414
SYNPCC7942_0294-MONOMER	PsbO	CCI-THY-MEM-CYA-GN	SYNPCC7942_0294
SYNPCC7942_1784-MONOMER	group3 RNA polymerase sigma factor SigF		SYNPCC7942_1784
SYNPCC7942_0659-MONOMER	Rad3-related DNA helicases-like		SYNPCC7942_0659
SYNPCC7942_2414-MONOMER	conserved hypothetical protein		SYNPCC7942_2414
SYNPCC7942_1029-MONOMER	branched-chain amino acid aminotransferase		SYNPCC7942_1029
SYNPCC7942_1398-MONOMER	Cellulose synthase (UDP-forming)	CCI-PM-BAC-NEG-GN	SYNPCC7942_1398
SYNPCC7942_1395-MONOMER	conserved hypothetical protein		SYNPCC7942_1395
SYNPCC7942_0275-MONOMER	conserved hypothetical protein		SYNPCC7942_0275
SYNPCC7942_1765-MONOMER	conserved hypothetical protein		SYNPCC7942_1765
SYNPCC7942_0643-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0643
SYNPCC7942_2395-MONOMER	conserved hypothetical protein		SYNPCC7942_2395
SYNPCC7942_1010-MONOMER	Pseudouridine synthase, Rsu		SYNPCC7942_1010
SYNPCC7942_1379-MONOMER	acetyl-CoA carboxylase, biotin carboxylase		SYNPCC7942_1379
SYNPCC7942_0259-MONOMER	conserved hypothetical protein		SYNPCC7942_0259
SYNPCC7942_1749-MONOMER	[4Fe-4S] ferredoxin		SYNPCC7942_1749
SYNPCC7942_0627-MONOMER	conserved hypothetical protein		SYNPCC7942_0627
SYNPCC7942_2379-MONOMER	Phosphomethylpyrimidine kinase		SYNPCC7942_2379
SYNPCC7942_0994-MONOMER	conserved hypothetical protein		SYNPCC7942_0994
SYNPCC7942_1366-MONOMER	1,4-dihydroxy-2-naphthoate phytyltransferase	CCI-PM-BAC-NEG-GN	SYNPCC7942_1366
SYNPCC7942_0243-MONOMER	possible high light inducible polypeptide HliC	CCO-MEMBRANE	SYNPCC7942_0243
SYNPCC7942_1733-MONOMER	SufR transcriptional regulator		SYNPCC7942_1733
SYNPCC7942_0611-MONOMER	MutS2 family protein		SYNPCC7942_0611
SYNPCC7942_2101-MONOMER	glucose-1-phosphate thymidylyltransferase		SYNPCC7942_2101
SYNPCC7942_2363-MONOMER	conserved hypothetical protein		SYNPCC7942_2363
SYNPCC7942_0978-MONOMER	ferredoxin-NADP oxidoreductase	CCI-THY-MEM-CYA-GN	SYNPCC7942_0978
SYNPCC7942_1350-MONOMER	hypothetical protein		SYNPCC7942_1350
SYNPCC7942_0227-MONOMER	peptidyl-tRNA hydrolase	CCI-CYTOSOL-GN	SYNPCC7942_0227
SYNPCC7942_1717-MONOMER	glycolate oxidase subunit (Fe-S) protein		SYNPCC7942_1717
SYNPCC7942_0595-MONOMER	hypothetical protein		SYNPCC7942_0595
SYNPCC7942_2085-MONOMER	probable anion transporting ATPase		SYNPCC7942_2085
SYNPCC7942_2347-MONOMER	conserved hypothetical protein		SYNPCC7942_2347
SYNPCC7942_0962-MONOMER	sun protein	CCI-CYTOSOL-GN	SYNPCC7942_0962
SYNPCC7942_1334-MONOMER	para-aminobenzoate synthase, component I		SYNPCC7942_1334
SYNPCC7942_0211-MONOMER	cobyric acid synthase CobQ		SYNPCC7942_0211
SYNPCC7942_1701-MONOMER	conserved hypothetical protein		SYNPCC7942_1701
SYNPCC7942_0579-MONOMER	sulfoquinovosyldiacylglycerol synthase		SYNPCC7942_0579
SYNPCC7942_2069-MONOMER	fimbrial assembly protein PilC-like	CCI-PM-BAC-NEG-GN	SYNPCC7942_2069
SYNPCC7942_2331-MONOMER	cytochrome <i>b</i><sub>6</sub>	CCI-THY-MEM-CYA-GN	SYNPCC7942_2331
SYNPCC7942_0946-MONOMER	L-amino acid oxidase	CCI-PERI-BAC-GN // CCO-MEMBRANE	SYNPCC7942_0946
SYNPCC7942_1318-MONOMER	manganese transport system membrane protein MntB	CCI-PM-BAC-NEG-GN	SYNPCC7942_1318
SYNPCC7942_0195-MONOMER	conserved hypothetical protein		SYNPCC7942_0195
SYNPCC7942_1685-MONOMER	sulfate transport system permease protein CysW	CCI-PM-BAC-NEG-GN	SYNPCC7942_1685
SYNPCC7942_0563-MONOMER	UvrABC system protein, B subunit	CCI-CYTOSOL-GN	SYNPCC7942_0563
SYNPCC7942_2053-MONOMER	probable peptidase		SYNPCC7942_2053
SYNPCC7942_2315-MONOMER	ATP synthase F1, &beta; subunit	CCI-THY-MEM-CYA-GN	SYNPCC7942_2315
SYNPCC7942_0930-MONOMER	beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ	CCI-CYTOSOL-GN	SYNPCC7942_0930
SYNPCC7942_1302-MONOMER	conserved hypothetical protein	CCI-CYTOSOL-GN	SYNPCC7942_1302
SYNPCC7942_0179-MONOMER	Secretion chaperone CsaA		SYNPCC7942_0179
SYNPCC7942_1669-MONOMER	Potassium-translocating P-type ATPase, B subunit	CCI-PM-BAC-NEG-GN	SYNPCC7942_1669
SYNPCC7942_0547-MONOMER	conserved hypothetical protein		SYNPCC7942_0547
SYNPCC7942_2037-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2037
SYNPCC7942_2299-MONOMER	30S ribosomal subunit protein S15	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN	SYNPCC7942_2299
SYNPCC7942_0914-MONOMER	tRNA-(MS(2)IO(6)A)-hydroxylase-like		SYNPCC7942_0914
SYNPCC7942_1286-MONOMER	molybdopterin biosynthesis protein moeA		SYNPCC7942_1286
SYNPCC7942_0163-MONOMER	conserved hypothetical protein		SYNPCC7942_0163
SYNPCC7942_1653-MONOMER	Putative uncharacterized protein		SYNPCC7942_1653
SYNPCC7942_0531-MONOMER	TPR repeat		SYNPCC7942_0531
SYNPCC7942_2021-MONOMER	conserved hypothetical protein		SYNPCC7942_2021
SYNPCC7942_2283-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2283
SYNPCC7942_0898-MONOMER	ferredoxin like protein		SYNPCC7942_0898
SYNPCC7942_B2652-MONOMER	hypothetical protein		SYNPCC7942_B2652
SYNPCC7942_1270-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1270
SYNPCC7942_0147-MONOMER	conserved hypothetical protein		SYNPCC7942_0147
SYNPCC7942_1637-MONOMER	photosystem II D2 protein	CCI-THY-MEM-CYA-GN	SYNPCC7942_1637
SYNPCC7942_0515-MONOMER	conserved hypothetical protein		SYNPCC7942_0515
SYNPCC7942_2005-MONOMER	flm3 region hypothetical protein 4	CCI-PM-BAC-NEG-GN	SYNPCC7942_2005
SYNPCC7942_2267-MONOMER	hypothetical protein		SYNPCC7942_2267
SYNPCC7942_0882-MONOMER	Peptidase S16, lon-like		SYNPCC7942_0882
SYNPCC7942_B2636-MONOMER	hypothetical protein		SYNPCC7942_B2636
SYNPCC7942_1254-MONOMER	cyclic nucleotide-binding domain (cNMP-BD) protein		SYNPCC7942_1254
SYNPCC7942_0131-MONOMER	cyclic nucleotide-binding domain (cNMP-BD) protein	CCO-MEMBRANE	SYNPCC7942_0131
SYNPCC7942_1621-MONOMER	Elongator protein 3/MiaB/NifB		SYNPCC7942_1621
SYNPCC7942_0499-MONOMER	conserved hypothetical protein		SYNPCC7942_0499
SYNPCC7942_1989-MONOMER	Cation efflux family protein	CCO-MEMBRANE	SYNPCC7942_1989
SYNPCC7942_2251-MONOMER	alr0113 (ycf52)-like		SYNPCC7942_2251
SYNPCC7942_0866-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0866
SYNPCC7942_B2620-MONOMER	catalase	CCI-PERI-BAC-GN	SYNPCC7942_B2620
SYNPCC7942_1238-MONOMER	nitrate transport permease	CCI-PM-BAC-NEG-GN	SYNPCC7942_1238
SYNPCC7942_0114-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0114
SYNPCC7942_1605-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1605
SYNPCC7942_0483-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0483
SYNPCC7942_1973-MONOMER	mannose-1-phosphate guanyltransferase		SYNPCC7942_1973
SYNPCC7942_2235-MONOMER	tRNA (guanine-N1)-methyltransferase	CCI-CYTOSOL-GN	SYNPCC7942_2235
SYNPCC7942_0849-MONOMER	protoporphyrinogen oxidase	CCI-PM-BAC-NEG-GN	SYNPCC7942_0849
SYNPCC7942_2603-MONOMER	cytochrome-c oxidase subunit I	CCI-PM-BAC-NEG-GN	SYNPCC7942_2603
SYNPCC7942_1222-MONOMER	tRNA pseudouridine synthase B		SYNPCC7942_1222
SYNPCC7942_0098-MONOMER	pyruvate kinase		SYNPCC7942_0098
SYNPCC7942_1589-MONOMER	putative modulator of DNA gyrase		SYNPCC7942_1589
SYNPCC7942_0467-MONOMER	Peptidase, metallopeptidases		SYNPCC7942_0467
SYNPCC7942_1957-MONOMER	cyclic nucleotide-binding domain (cNMP-BD) protein		SYNPCC7942_1957
SYNPCC7942_2219-MONOMER	30S ribosomal subunit protein S8	CCI-RIBOSOME-GN	SYNPCC7942_2219
SYNPCC7942_0833-MONOMER	RuBisCO accumulation factor 1 monomer	CCI-CYTOSOL-GN	SYNPCC7942_0833
SYNPCC7942_2587-MONOMER	conserved hypothetical protein		SYNPCC7942_2587
SYNPCC7942_1206-MONOMER	conserved hypothetical protein		SYNPCC7942_1206
SYNPCC7942_0082-MONOMER	ATPase	CCO-MEMBRANE	SYNPCC7942_0082
SYNPCC7942_1573-MONOMER	glucose 1-dehydrogenase		SYNPCC7942_1573
SYNPCC7942_0451-MONOMER	esterase		SYNPCC7942_0451
SYNPCC7942_1941-MONOMER	conserved hypothetical protein		SYNPCC7942_1941
SYNPCC7942_2203-MONOMER	peptide chain release factor 1	CCI-CYTOSOL-GN	SYNPCC7942_2203
SYNPCC7942_0816-MONOMER	diguanylate cyclase/phosphodiesterase (GGDEF &amp; EAL domains)		SYNPCC7942_0816
SYNPCC7942_2571-MONOMER	Penicillin-binding protein 1A	CCO-MEMBRANE	SYNPCC7942_2571
SYNPCC7942_1190-MONOMER	Leucyl aminopeptidase	CCI-CYTOSOL-GN	SYNPCC7942_1190
SYNPCC7942_0066-MONOMER	ABC type transporter, putative component	CCO-MEMBRANE	SYNPCC7942_0066
SYNPCC7942_1557-MONOMER	RNA polymerase sigma factor SigA6		SYNPCC7942_1557
SYNPCC7942_0435-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0435
SYNPCC7942_1925-MONOMER	probable peptidase		SYNPCC7942_1925
SYNPCC7942_2187-MONOMER	conserved hypothetical protein		SYNPCC7942_2187
SYNPCC7942_0800-MONOMER	chromophore lyase CpcT/CpeT		SYNPCC7942_0800
SYNPCC7942_2555-MONOMER	NAD-reducing hydrogenase HoxS &beta; subunit	CCO-MEMBRANE	SYNPCC7942_2555
SYNPCC7942_1174-MONOMER	PsbJ	CCI-THY-MEM-CYA-GN	SYNPCC7942_1174
SYNPCC7942_0050-MONOMER	conserved hypothetical protein		SYNPCC7942_0050
SYNPCC7942_1540-MONOMER	Iron stress-induced protein C		SYNPCC7942_1540
SYNPCC7942_0419-MONOMER	biotin synthase		SYNPCC7942_0419
SYNPCC7942_1909-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1909
SYNPCC7942_2171-MONOMER	starvation induced DNA binding protein	CCI-CYTOSOL-GN	SYNPCC7942_2171
SYNPCC7942_0784-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0784
SYNPCC7942_2539-MONOMER	conserved hypothetical protein		SYNPCC7942_2539
SYNPCC7942_1158-MONOMER	diguanylate cyclase/phosphodiesterase (GGDEF &amp; EAL domains) with PAS/PAC and GAF sensor(s)		SYNPCC7942_1158
SYNPCC7942_0034-MONOMER	N-acetylornithine aminotransferase		SYNPCC7942_0034
SYNPCC7942_1524-MONOMER	DNA-directed RNA polymerase &beta;'' subunit		SYNPCC7942_1524
SYNPCC7942_0403-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0403
SYNPCC7942_1893-MONOMER	neutural amino acids ABC transporter ATPase component		SYNPCC7942_1893
SYNPCC7942_2155-MONOMER	conserved hypothetical protein		SYNPCC7942_2155
