Proteins,Common-Name,"Genes of polypeptide, complex, or RNA",Locations
G12WB-551-MONOMER,hypothetical protein,G12WB-551,
G12WB-2537-MONOMER,hypothetical protein,G12WB-2537,
G12WB-1252-MONOMER,hypothetical protein,G12WB-1252,
G12WB-2871-MONOMER,midcell localizing division protein A,G12WB-2871,CCI-PM-BAC-POS-GP
G12WB-900-MONOMER,hypothetical protein,G12WB-900,
G12WB-3208-MONOMER,N-acetylmuramic acid 6-phosphate etherase,G12WB-3208,
G12WB-1483-MONOMER,lipoprotein,G12WB-1483,
G12WB-3384-MONOMER,hypothetical protein,G12WB-3384,CCI-PM-BAC-POS-GP
G12WB-1833-MONOMER,thioredoxin-disulfide reductase,G12WB-1833,
G12WB-2188-MONOMER,MerR family transcriptional regulator,G12WB-2188,
G12WB-3721-MONOMER,methionine--tRNA ligase,G12WB-3721,CCI-CYTOSOL-GP
G12WB-535-MONOMER,HTH-type transcriptional regulator,G12WB-535,
G12WB-2522-MONOMER,quinolinate synthetase,G12WB-2522,CCI-CYTOSOL-GP
G12WB-1238-MONOMER,hydrolase,G12WB-1238,
G12WB-2857-MONOMER,"putative transporter, nucleobase:cation symporter-2 family",G12WB-2857,CCI-PM-BAC-POS-GP
G12WB-886-MONOMER,stage V sporulation protein AE,G12WB-886,CCI-PM-BAC-POS-GP
G12WB-3193-MONOMER,PTS operon transcription antiterminator,G12WB-3193,
G12WB-1469-MONOMER,adenylosuccinate lyase,G12WB-1469,
G12WB-1817-MONOMER,HxlR family transcriptional regulator,G12WB-1817,
G12WB-2173-MONOMER,"ABC transporter, membrane protein",G12WB-2173,CCI-PM-BAC-POS-GP
G12WB-3707-MONOMER,"iron family ABC transporter, membrane protein",G12WB-3707,CCI-PM-BAC-POS-GP
G12WB-519-MONOMER,conjugative transposon protein,G12WB-519,
G12WB-2508-MONOMER,oligoendopeptidase-like protein,G12WB-2508,
G12WB-1223-MONOMER,conjugative transposon protein,G12WB-1223,
G12WB-2842-MONOMER,lipoprotein,G12WB-2842,
G12WB-870-MONOMER,pyruvate formate-lyase activating enzyme,G12WB-870,CCI-CYTOSOL-GP
G12WB-3179-MONOMER,"putative mannose-specific PTS, enzyme IIA component",G12WB-3179,CCI-PM-BAC-POS-GP
G12WB-1454-MONOMER,polysaccharide deacetylase,G12WB-1454,
G12WB-1801-MONOMER,transposase-like protein A,G12WB-1801,
G12WB-2159-MONOMER,hypothetical protein,G12WB-2159,
G12WB-3692-MONOMER,type IV pilus secretion protein,G12WB-3692,CCI-PM-BAC-POS-GP
G12WB-2493-MONOMER,gamma-aminobutyrate metabolism dehydratase/isomerase,G12WB-2493,
G12WB-1209-MONOMER,peptidase,G12WB-1209,
G12WB-2828-MONOMER,succinyl CoA:3-oxoacid CoA-transferase subunit A,G12WB-2828,
G12WB-506-MONOMER,electron transfer flavoprotein subunit beta,G12WB-506,
G12WB-856-MONOMER,putative MotA/TolQ/ExbB proton channel,G12WB-856,CCI-PM-BAC-POS-GP
G12WB-3164-MONOMER,"putative cobalamin ABC transporter, substrate-binding protein",G12WB-3164,
G12WB-144-MONOMER,30S ribosomal protein S5,G12WB-144,CCI-RIBOSOME-GP
G12WB-1785-MONOMER,peptidase,G12WB-1785,
G12WB-2144-MONOMER,TetR family transcriptional regulator,G12WB-2144,
G12WB-3678-MONOMER,bifunctional tetrapyrrole methylase/NTP pyrophosphohydrolase MazG,G12WB-3678,
G12WB-2479-MONOMER,"galactitol family PTS, enzyme IIA component",G12WB-2479,
G12WB-1194-MONOMER,hypothetical protein,G12WB-1194,CCI-CYTOSOL-GP
G12WB-2813-MONOMER,GTP-binding protein YchF,G12WB-2813,
G12WB-491-MONOMER,hypothetical protein,G12WB-491,
G12WB-840-MONOMER,glycine cleavage system protein H,G12WB-840,CCI-CYTOSOL-GP
G12WB-315-MONOMER,sulfatase,G12WB-315,
G12WB-1424-MONOMER,small acid-soluble spore protein SASP,G12WB-1424,
G12WB-1769-MONOMER,membrane protein,G12WB-1769,CCI-PM-BAC-POS-GP
G12WB-213-MONOMER,hypothetical protein,G12WB-213,CCI-PM-BAC-POS-GP
G12WB-3663-MONOMER,putative Zn<sup>2+</sup>/Fe<sup>2+</sup> transporter,G12WB-3663,CCI-PM-BAC-POS-GP
G12WB-2464-MONOMER,"molybdate family ABC transporter, membrane subunit",G12WB-2464,CCI-PM-BAC-POS-GP
G12WB-118-MONOMER,50S ribosomal protein L7/L12,G12WB-118,CCI-RIBOSOME-GP
G12WB-2798-MONOMER,membrane protein,G12WB-2798,CCI-PM-BAC-POS-GP
G12WB-475-MONOMER,conjugative transposon protein,G12WB-475,
G12WB-826-MONOMER,phosphate butyryltransferase,G12WB-826,
G12WB-3135-MONOMER,AMP-binding protein,G12WB-3135,
G12WB-141-MONOMER,30S ribosomal protein S8,G12WB-141,CCI-RIBOSOME-GP
G12WB-1753-MONOMER,"ABC transporter, ATP-binding protein",G12WB-1753,
G12WB-2114-MONOMER,peptidase,G12WB-2114,
G12WB-3649-MONOMER,"F<sub>o</sub>F<sub>1</sub> ATP synthase, &gamma; subunit",G12WB-3649,CCI-PM-BAC-POS-GP
G12WB-2449-MONOMER,hypothetical protein,G12WB-2449,
G12WB-1165-MONOMER,peptidase T,G12WB-1165,CCI-CYTOSOL-GP
G12WB-2783-MONOMER,GTP-binding protein Der,G12WB-2783,
G12WB-4595-MONOMER,Conserved hypothetical protein,G12WB-4595,
G12WB-811-MONOMER,cell-division protein,G12WB-811,
G12WB-3120-MONOMER,V-type ATP synthase subunit A,G12WB-3120,CCI-PM-BAC-POS-GP
G12WB-1395-MONOMER,ribonucleotide-diphosphate reductase,G12WB-1395,
G12WB-1737-MONOMER,hypothetical protein,G12WB-1737,
G12WB-2099-MONOMER,two-component response regulator,G12WB-2099,
G12WB-3634-MONOMER,nucleotide-binding protein,G12WB-3634,
G12WB-2434-MONOMER,"fructose-mannitol family PTS, enzyme IIB component",G12WB-2434,
G12WB-1147-MONOMER,hypothetical protein,G12WB-1147,CCI-PM-BAC-POS-GP
G12WB-2769-MONOMER,isoleucine--tRNA ligase,G12WB-2769,CCI-CYTOSOL-GP
G12WB-450-MONOMER,hypothetical protein,G12WB-450,
G12WB-798-MONOMER,nucleotide phosphodiesterase,G12WB-798,
G12WB-3106-MONOMER,replication protein,G12WB-3106,
G12WB-1380-MONOMER,hypothetical protein,G12WB-1380,
G12WB-1721-MONOMER,hypothetical protein,G12WB-1721,
G12WB-2083-MONOMER,membrane protein,G12WB-2083,CCI-PM-BAC-POS-GP
G12WB-362-MONOMER,flagellar basal body-associated protein FliL,G12WB-362,CCI-PM-BAC-POS-GP // CCO-CELL-PROJECTION
G12WB-242-MONOMER,glycine/sarcosine/betaine reductase B,G12WB-242,
G12WB-1132-MONOMER,"multidrug family ABC transporter, ATP-binding/membrane protein",G12WB-1132,CCI-PM-BAC-POS-GP
G12WB-2754-MONOMER,lipoprotein signal peptidase,G12WB-2754,CCI-PM-BAC-POS-GP
G12WB-4440-MONOMER,Conserved hypothetical protein,G12WB-4440,
G12WB-783-MONOMER,hypothetical protein,G12WB-783,
G12WB-3091-MONOMER,hypothetical protein,G12WB-3091,
G12WB-1366-MONOMER,hypothetical protein,G12WB-1366,
G12WB-1705-MONOMER,spore coat protein; manganese catalase,G12WB-1705,CCI-CW-BAC-POS-GP
G12WB-2066-MONOMER,ethanolamine carboxysome structural protein EutN,G12WB-2066,
G12WB-3605-MONOMER,cobalt-precorrin-6Y C(5)-methyltransferase,G12WB-3605,
G12WB-2405-MONOMER,ATPase,G12WB-2405,
G12WB-1118-MONOMER,fumarate hydratase subunit A,G12WB-1118,
G12WB-274-MONOMER,MATE family efflux transporter,G12WB-274,CCI-PM-BAC-POS-GP
G12WB-4373-MONOMER,"Transcriptional regulator, beta-lactams repressor Phage-type",G12WB-4373,
G12WB-769-MONOMER,toxin B,G12WB-769,CCI-EXTRACELLULAR-GP // CCI-PM-BAC-POS-GP
G12WB-3077-MONOMER,hypothetical protein,G12WB-3077,
G12WB-1690-MONOMER,imidazole glycerol phosphate synthase subunit HisH,G12WB-1690,CCI-CYTOSOL-GP
G12WB-2050-MONOMER,hypothetical protein,G12WB-2050,
G12WB-1687-MONOMER,ATP phosphoribosyltransferase,G12WB-1687,CCI-CYTOSOL-GP
G12WB-2047-MONOMER,lipoprotein signal peptidase,G12WB-2047,CCI-PM-BAC-POS-GP
G12WB-3585-MONOMER,excinuclease ABC subunit A,G12WB-3585,CCI-CYTOSOL-GP
G12WB-2389-MONOMER,Crp family transcriptional regulator,G12WB-2389,
G12WB-1100-MONOMER,MATE family efflux transporter,G12WB-1100,CCI-PM-BAC-POS-GP
G12WB-2722-MONOMER,"putative 2-<i>O</i>-&alpha;-mannosyl-D-glycerate specific PTS, enzyme IIA component",G12WB-2722,CCI-PM-BAC-POS-GP
G12WB-4310-MONOMER,Conserved hypothetical protein,G12WB-4310,
G12WB-751-MONOMER,HTH-type transcriptional regulator,G12WB-751,
G12WB-306-MONOMER,UvrABC system protein A 1,G12WB-306,CCI-CYTOSOL-GP
G12WB-1671-MONOMER,"ABC transporter, membrane protein",G12WB-1671,CCI-PM-BAC-POS-GP
G12WB-3570-MONOMER,DNA polymerase III DnaE,G12WB-3570,CCI-CYTOSOL-GP
G12WB-2034-MONOMER,anti ECF RNA polymerase sigma factor RsiU,G12WB-2034,CCI-PM-BAC-POS-GP
G12WB-2373-MONOMER,3-dehydroquinate dehydratase,G12WB-2373,
G12WB-1087-MONOMER,holin,G12WB-1087,CCI-PM-BAC-POS-GP
G12WB-423-MONOMER,membrane protein,G12WB-423,CCI-PM-BAC-POS-GP
G12WB-737-MONOMER,membrane protein,G12WB-737,CCI-PM-BAC-POS-GP
G12WB-2710-MONOMER,"fructose-mannitol famly PTS, enzyme IIB component",G12WB-2710,
G12WB-3045-MONOMER,GntR family transcriptional regulator,G12WB-3045,
G12WB-1655-MONOMER,ferrous iron transport protein B,G12WB-1655,CCI-PM-BAC-POS-GP
G12WB-3556-MONOMER,conjugative transposon protein,G12WB-3556,CCI-PM-BAC-POS-GP
G12WB-2018-MONOMER,conjugative transposon protein,G12WB-2018,
G12WB-2359-MONOMER,esterase,G12WB-2359,
G12WB-1072-MONOMER,hypothetical protein,G12WB-1072,CCI-PM-BAC-POS-GP
G12WB-406-MONOMER,"putative ribose ABC transporter, substrate-binding protein",G12WB-406,
G12WB-722-MONOMER,"ABC transporter, ATP-binding protein",G12WB-722,
G12WB-2696-MONOMER,putative cystine:cation symporter,G12WB-2696,CCI-PM-BAC-POS-GP
G12WB-3030-MONOMER,putative 2-keto-3-deoxygluconate transporter,G12WB-3030,CCI-PM-BAC-POS-GP
G12WB-3365-MONOMER,"multidrug family ABC transporter, membrane protein",G12WB-3365,CCI-PM-BAC-POS-GP
G12WB-164-MONOMER,germination-specific N-acetylmuramoyl-L-alanine amidase,G12WB-164,CCI-PM-BAC-POS-GP
G12WB-3541-MONOMER,recombinase,G12WB-3541,
G12WB-2002-MONOMER,conjugative transposon protein,G12WB-2002,
G12WB-2344-MONOMER,beta-phosphoglucomutase,G12WB-2344,
G12WB-1058-MONOMER,minor head protein,G12WB-1058,
G12WB-390-MONOMER,"mannose/fructose/sorbose family PTS, enzyme IIB component",G12WB-390,CCI-CYTOSOL-GP
G12WB-707-MONOMER,hypothetical protein,G12WB-707,
G12WB-2681-MONOMER,"1,4-alpha-glucan-branching protein",G12WB-2681,
G12WB-3016-MONOMER,membrane protein,G12WB-3016,CCI-PM-BAC-POS-GP
G12WB-3350-MONOMER,diaminopropionate ammonia-lyase,G12WB-3350,
G12WB-1625-MONOMER,DeoR family transcriptional regulator,G12WB-1625,
G12WB-3527-MONOMER,hypothetical protein,G12WB-3527,
G12WB-1987-MONOMER,hypothetical protein,G12WB-1987,CCI-PM-BAC-POS-GP
G12WB-233-MONOMER,sporulation protein,G12WB-233,
G12WB-1043-MONOMER,hypothetical protein,G12WB-1043,
G12WB-3871-MONOMER,membrane protein insertion efficiency factor,G12WB-3871,CCI-PM-BAC-POS-GP
G12WB-692-MONOMER,TetR family transcriptional regulator,G12WB-692,
G12WB-2667-MONOMER,translation inhibitor endoribonuclease,G12WB-2667,
G12WB-3001-MONOMER,amidohydrolase,G12WB-3001,
G12WB-3336-MONOMER,enolase,G12WB-3336,CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP
G12WB-1610-MONOMER,"multidrug family ABC transporter, ATP-binding/membrane protein",G12WB-1610,CCI-PM-BAC-POS-GP
G12WB-3512-MONOMER,replication initiation factor,G12WB-3512,
G12WB-1971-MONOMER,MarR family transcriptional regulator,G12WB-1971,
G12WB-2315-MONOMER,4-aminobutyrate aminotransferase,G12WB-2315,
G12WB-1029-MONOMER,hypothetical protein,G12WB-1029,
G12WB-3856-MONOMER,aminotransferase,G12WB-3856,
G12WB-676-MONOMER,ATP-dependent protease,G12WB-676,
G12WB-2651-MONOMER,competence protein ComEA,G12WB-2651,CCI-PM-BAC-POS-GP
G12WB-2988-MONOMER,aspartate aminotransferase,G12WB-2988,
G12WB-3321-MONOMER,hypothetical protein,G12WB-3321,
G12WB-1597-MONOMER,phosphohydrolase,G12WB-1597,
G12WB-3498-MONOMER,HTH-type transcriptional regulator,G12WB-3498,
G12WB-1954-MONOMER,NADPH-dependent FMN reductase,G12WB-1954,
G12WB-2300-MONOMER,HTH-type transcriptional regulator,G12WB-2300,CCI-PM-BAC-POS-GP
G12WB-1014-MONOMER,transcriptional regulator,G12WB-1014,
G12WB-3838-MONOMER,metallo-beta-lactamase-like hydrolase,G12WB-3838,
G12WB-660-MONOMER,penicillin-binding peptidase BlaR1-like protein,G12WB-660,CCI-PM-BAC-POS-GP
G12WB-2637-MONOMER,lipoprotein,G12WB-2637,
G12WB-1353-MONOMER,XerD-like integrase site-specific recombinase,G12WB-1353,
G12WB-2973-MONOMER,tartronate semialdehyde reductase,G12WB-2973,
MONOMER12WB-7692,"multidrug family ABC transporter, ATP-binding protein",G12WB-399,
G12WB-3307-MONOMER,collagen binding protein A,G12WB-3307,CCI-CW-BAC-POS-GP
G12WB-1582-MONOMER,para-aminobenzoate/anthranilate synthase glutamine amidotransferase component II,G12WB-1582,
G12WB-3483-MONOMER,hypothetical protein,G12WB-3483,
G12WB-1938-MONOMER,hypothetical protein,G12WB-1938,
G12WB-2286-MONOMER,membrane-associated peptidase,G12WB-2286,CCI-PM-BAC-POS-GP
G12WB-100-MONOMER,"2-C-methyl-D-erythritol 2,4-cyclo diphosphate synthase",G12WB-100,
G12WB-3823-MONOMER,hypothetical protein,G12WB-3823,CCI-PM-BAC-POS-GP
G12WB-644-MONOMER,transcriptional regulator,G12WB-644,
G12WB-2622-MONOMER,elongation factor 4,G12WB-2622,CCI-PM-BAC-POS-GP
G12WB-1339-MONOMER,RNA-binding S4-domain-containing protein,G12WB-1339,
G12WB-2959-MONOMER,hypothetical protein,G12WB-2959,
G12WB-986-MONOMER,"sugar-family ABC transporter, membrane subunit",G12WB-986,CCI-PM-BAC-POS-GP
G12WB-3292-MONOMER,glycosyl hydrolase/phosphorylase,G12WB-3292,
G12WB-1568-MONOMER,delta-lactam-biosynthetic de-N-acteylase,G12WB-1568,CCI-PM-BAC-POS-GP
G12WB-3469-MONOMER,chromate transport protein ChrA,G12WB-3469,CCI-PM-BAC-POS-GP
G12WB-1923-MONOMER,"amino acid family ABC transporter, ATP-binding subunit",G12WB-1923,
G12WB-2271-MONOMER,GTP-binding protein BipA,G12WB-2271,CCI-CYTOSOL-GP
G12WB-3809-MONOMER,"ABC transporter, ATP-binding protein",G12WB-3809,
G12WB-627-MONOMER,hemagglutinin/adhesin,G12WB-627,CCI-CW-BAC-POS-GP
G12WB-2607-MONOMER,CRISPR-associated negative autoregulator,G12WB-2607,
G12WB-1324-MONOMER,stage III sporulation protein AB,G12WB-1324,
G12WB-2944-MONOMER,membrane protein,G12WB-2944,CCI-PM-BAC-POS-GP
G12WB-971-MONOMER,"putative maltose-specific PTS, enzyme IIA component",G12WB-971,
G12WB-3278-MONOMER,putative &beta;-glucoside-specific PTS enzyme II,G12WB-3278,CCI-PM-BAC-POS-GP
G12WB-1553-MONOMER,membrane protein,G12WB-1553,CCI-PM-BAC-POS-GP
G12WB-3454-MONOMER,oxidoreductase,G12WB-3454,
G12WB-1909-MONOMER,membrane protein,G12WB-1909,CCI-PM-BAC-POS-GP
G12WB-2257-MONOMER,"ABC transporter, membrane protein",G12WB-2257,CCI-PM-BAC-POS-GP
G12WB-3794-MONOMER,hydrolase,G12WB-3794,
G12WB-611-MONOMER,conjugative transposon protein,G12WB-611,CCI-PM-BAC-POS-GP
G12WB-2592-MONOMER,diacylglycerol kinase,G12WB-2592,CCI-PM-BAC-POS-GP
G12WB-131-MONOMER,30S ribosomal protein S19,G12WB-131,CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
G12WB-293-MONOMER,2-dehydropantoate 2-reductase,G12WB-293,
G12WB-956-MONOMER,hypothetical protein,G12WB-956,
G12WB-3263-MONOMER,"glucose-glucoside family PTS, enzyme IIBC component",G12WB-3263,CCI-PM-BAC-POS-GP
G12WB-1539-MONOMER,glycerophosphoryl diester phosphodiesterase,G12WB-1539,
G12WB-344-MONOMER,predicted threonine kinase,G12WB-344,
G12WB-1894-MONOMER,CoA enzyme activase,G12WB-1894,
G12WB-2242-MONOMER,"putative transporter, nucleobase:cation symporter-2 family",G12WB-2242,CCI-PM-BAC-POS-GP
G12WB-378-MONOMER,heat shock protein 90,G12WB-378,
G12WB-596-MONOMER,"ABC transporter, ATP-binding protein",G12WB-596,
G12WB-2578-MONOMER,flavodoxin/ferredoxin oxidoreductase subunit gamma,G12WB-2578,
G12WB-1295-MONOMER,RNA-binding protein,G12WB-1295,
G12WB-2915-MONOMER,phosphocarrier protein HPr,G12WB-2915,
G12WB-941-MONOMER,ATP-dependent RNA helicase,G12WB-941,CCI-CYTOSOL-GP
G12WB-3249-MONOMER,cellobiose-phosphate degrading protein,G12WB-3249,
G12WB-1524-MONOMER,allophanate hydrolase subunit 1,G12WB-1524,
G12WB-3425-MONOMER,polysaccharide deacetylase,G12WB-3425,CCI-PM-BAC-POS-GP
G12WB-1878-MONOMER,hypothetical protein,G12WB-1878,
G12WB-2228-MONOMER,hypothetical protein,G12WB-2228,
G12WB-3765-MONOMER,resolvase,G12WB-3765,
G12WB-580-MONOMER,alpha-amylase,G12WB-580,
G12WB-2563-MONOMER,negative regulator of gluconeogenesis,G12WB-2563,
G12WB-1280-MONOMER,septum site-determining protein MinD,G12WB-1280,CCI-PM-BAC-POS-GP
G12WB-2900-MONOMER,hydrolase beta-lactamase-like,G12WB-2900,
G12WB-927-MONOMER,transposase-like protein B,G12WB-927,
G12WB-3234-MONOMER,membrane protein,G12WB-3234,CCI-PM-BAC-POS-GP
G12WB-151-MONOMER,translation initiation factor IF-1,G12WB-151,CCI-CYTOSOL-GP
G12WB-3410-MONOMER,D-proline reductase PrdA,G12WB-3410,
G12WB-1862-MONOMER,transposase-like protein B,G12WB-1862,
G12WB-2213-MONOMER,hypothetical protein,G12WB-2213,CCI-PM-BAC-POS-GP
G12WB-3750-MONOMER,pro-sigma(E) endopeptidase,G12WB-3750,
G12WB-564-MONOMER,hydrolase,G12WB-564,
G12WB-2549-MONOMER,2-thiocytidine tRNA biosynthesis protein TtcA,G12WB-2549,
G12WB-1265-MONOMER,SH3-domain-containing protein,G12WB-1265,
G12WB-2886-MONOMER,regulator of the sigma(E) factor,G12WB-2886,CCI-PM-BAC-POS-GP
G12WB-912-MONOMER,"putative transporter, gluconate:H<sup>+</sup> symporter family",G12WB-912,CCI-PM-BAC-POS-GP
G12WB-322-MONOMER,phosphoribosylaminoimidazolesuccinocarboxamide synthase,G12WB-322,
G12WB-1495-MONOMER,transcriptional regulator,G12WB-1495,
G12WB-3396-MONOMER,dihydrodipicolinate reductase,G12WB-3396,CCI-CYTOSOL-GP
G12WB-1846-MONOMER,thiamine biosynthesis protein ThiF,G12WB-1846,
G12WB-22-MONOMER,DNA binding protein,G12WB-22,CCI-BAC-NUCLEOID-GP // CCI-CYTOSOL-GP
G12WB-3733-MONOMER,membrane protein,G12WB-3733,CCI-PM-BAC-POS-GP
G12WB-548-MONOMER,hypothetical protein,G12WB-548,CCI-PM-BAC-POS-GP
G12WB-2534-MONOMER,diguanylate cyclase signaling protein,G12WB-2534,
G12WB-125-MONOMER,elongation factor Tu,G12WB-125,CCI-CYTOSOL-GP
G12WB-2869-MONOMER,midcell localizing division protein C,G12WB-2869,CCI-CYTOSOL-GP
G12WB-899-MONOMER,GTP-binding protein HflX,G12WB-899,CCI-CYTOSOL-GP
G12WB-3205-MONOMER,hypothetical protein,G12WB-3205,
G12WB-1480-MONOMER,PadR family transcriptional regulator,G12WB-1480,
G12WB-3381-MONOMER,"glycine betaine/carnitine/choline ABC transporter, ATP-binding protein",G12WB-3381,
G12WB-1830-MONOMER,two-component response regulator,G12WB-1830,
G12WB-2185-MONOMER,acyl-CoA acyltransferase,G12WB-2185,CCI-PM-BAC-POS-GP
G12WB-3719-MONOMER,phosphonate metabolism protein,G12WB-3719,
G12WB-532-MONOMER,nucleic acid-binding protein,G12WB-532,
G12WB-252-MONOMER,hypothetical protein,G12WB-252,
G12WB-1235-MONOMER,conjugative transposon protein,G12WB-1235,
G12WB-2854-MONOMER,lipoprotein,G12WB-2854,
G12WB-883-MONOMER,RNA polymerase sigma factor SigF,G12WB-883,
G12WB-3190-MONOMER,phosphosugar isomerase,G12WB-3190,
G12WB-1466-MONOMER,signal peptidase I,G12WB-1466,CCI-PM-BAC-POS-GP
G12WB-1814-MONOMER,two-component sensor histidine kinase,G12WB-1814,CCI-PM-BAC-POS-GP
G12WB-2170-MONOMER,hypothetical protein,G12WB-2170,
G12WB-3704-MONOMER,rRNA small subunit methyltransferase A,G12WB-3704,CCI-CYTOSOL-GP
G12WB-516-MONOMER,hypothetical protein,G12WB-516,
G12WB-2504-MONOMER,glycine reductase complex component B subunits alpha and beta,G12WB-2504,
G12WB-1220-MONOMER,"multidrug family ABC transporter, ATP-binding protein",G12WB-1220,
G12WB-284-MONOMER,ATPase,G12WB-284,
G12WB-868-MONOMER,nitroreductase,G12WB-868,
G12WB-3176-MONOMER,alpha-mannosidase,G12WB-3176,
G12WB-1451-MONOMER,30S ribosomal protein S15,G12WB-1451,CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
G12WB-1799-MONOMER,putative cation-transporting P-type ATPase,G12WB-1799,CCI-PM-BAC-POS-GP
G12WB-2156-MONOMER,23S rRNA methylase leader peptide,G12WB-2156,
G12WB-369-MONOMER,flagellar biosynthesis protein FlhG,G12WB-369,
G12WB-2490-MONOMER,4-hydroxybutyrate dehydrogenase,G12WB-2490,
G12WB-1206-MONOMER,"PTS, enzyme IIB component",G12WB-1206,
G12WB-2825-MONOMER,"putative oligopeptide ABC transporter, membrane subunit",G12WB-2825,CCI-PM-BAC-POS-GP
G12WB-503-MONOMER,2-hydroxyisocaproyl-CoA dehydratase subunit B,G12WB-503,
G12WB-852-MONOMER,glycerol kinase,G12WB-852,CCI-CYTOSOL-GP
G12WB-3161-MONOMER,hypothetical protein,G12WB-3161,
G12WB-1437-MONOMER,MazG-like pyrophosphohydrolase,G12WB-1437,
G12WB-1782-MONOMER,hypothetical protein,G12WB-1782,
G12WB-2141-MONOMER,membrane protein,G12WB-2141,CCI-PM-BAC-POS-GP
G12WB-3675-MONOMER,sporulation protein,G12WB-3675,
G12WB-2476-MONOMER,sugar-phosphate dehydrogenase,G12WB-2476,
G12WB-1191-MONOMER,polysaccharide biosynthesis/sporulation protein,G12WB-1191,CCI-PM-BAC-POS-GP
G12WB-2810-MONOMER,prolipoprotein diacylglyceryl transferase,G12WB-2810,CCI-PM-BAC-POS-GP
G12WB-488-MONOMER,conjugative transposon protein,G12WB-488,
G12WB-838-MONOMER,bifunctional carbon monoxide dehydrogenase/acetyl-CoA synthase methyltransferase subunit,G12WB-838,
G12WB-3147-MONOMER,CRISPR-associated Cas6 family protein,G12WB-3147,
G12WB-1421-MONOMER,Fur family transcriptional regulator,G12WB-1421,
G12WB-1766-MONOMER,D-alanyl-D-alanine dipeptidase,G12WB-1766,
G12WB-2127-MONOMER,tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase,G12WB-2127,CCI-CYTOSOL-GP
G12WB-3660-MONOMER,ribose-5-phosphate isomerase,G12WB-3660,
G12WB-2461-MONOMER,hypothetical protein,G12WB-2461,
G12WB-1177-MONOMER,3-hydroxybutyryl-CoA dehydratase,G12WB-1177,
G12WB-2795-MONOMER,sporulation sigma-E factor processing peptidase,G12WB-2795,CCI-PM-BAC-POS-GP
G12WB-472-MONOMER,"multidrug family ABC transporter, ATP-binding protein",G12WB-472,
G12WB-823-MONOMER,hypothetical protein,G12WB-823,
G12WB-3132-MONOMER,hypothetical protein,G12WB-3132,CCI-PM-BAC-POS-GP
G12WB-1407-MONOMER,DNA processing Smf single strand binding protein,G12WB-1407,
G12WB-1750-MONOMER,hypothetical protein,G12WB-1750,CCI-PM-BAC-POS-GP
G12WB-2111-MONOMER,oligonucleotide binding regulator,G12WB-2111,
G12WB-3646-MONOMER,holo-ACP synthase,G12WB-3646,CCI-CYTOSOL-GP
G12WB-2446-MONOMER,hypothetical protein,G12WB-2446,CCI-PM-BAC-POS-GP
G12WB-1162-MONOMER,nuclease SbcCD subunit C,G12WB-1162,
G12WB-2780-MONOMER,stage IV sporulation protein A,G12WB-2780,CCI-CW-BAC-POS-GP // CCI-CYTOSOL-GP
G12WB-459-MONOMER,transcriptional regulator,G12WB-459,
G12WB-809-MONOMER,phenylalanine--tRNA ligase subunit alpha,G12WB-809,CCI-CYTOSOL-GP
G12WB-3118-MONOMER,V-type ATP synthase subunit D,G12WB-3118,
G12WB-1392-MONOMER,ribosome biogenesis GTPase,G12WB-1392,CCI-CYTOSOL-GP
G12WB-1734-MONOMER,ferredoxin,G12WB-1734,
G12WB-2096-MONOMER,"ABC transporter, membrane protein",G12WB-2096,CCI-PM-BAC-POS-GP
G12WB-3631-MONOMER,GntR family transcriptional regulator,G12WB-3631,
G12WB-2431-MONOMER,L-ribulose-5-phosphate 4-epimerase,G12WB-2431,
G12WB-1144-MONOMER,cell wall anchored protein,G12WB-1144,CCI-PM-BAC-POS-GP
G12WB-2766-MONOMER,TetR family transcriptional regulator,G12WB-2766,
G12WB-449-MONOMER,hypothetical protein,G12WB-449,
G12WB-795-MONOMER,50S ribosomal protein L35,G12WB-795,CCI-RIBOSOME-GP
G12WB-3103-MONOMER,hypothetical protein,G12WB-3103,
G12WB-1378-MONOMER,hypothetical protein,G12WB-1378,CCI-PM-BAC-POS-GP
G12WB-1718-MONOMER,exosporium protein,G12WB-1718,CCI-CW-BAC-POS-GP
G12WB-2080-MONOMER,acetyl-CoA carboxylase subunit,G12WB-2080,
G12WB-3617-MONOMER,hypothetical protein,G12WB-3617,
G12WB-2417-MONOMER,"putative transporter, major facilitator superfamily",G12WB-2417,CCI-PM-BAC-POS-GP
G12WB-113-MONOMER,protein translocase subunit SecE,G12WB-113,CCI-PM-BAC-POS-GP
G12WB-2751-MONOMER,putative uracil transporter,G12WB-2751,CCI-PM-BAC-POS-GP
G12WB-4435-MONOMER,Conserved hypothetical protein,G12WB-4435,
G12WB-780-MONOMER,two-component sensor histidine kinase,G12WB-780,CCI-PM-BAC-POS-GP
G12WB-3089-MONOMER,transcriptional regulator,G12WB-3089,
G12WB-1363-MONOMER,cell wall protein 26,G12WB-1363,
G12WB-1702-MONOMER,hypothetical protein,G12WB-1702,
G12WB-2063-MONOMER,ethanolamine corrinoid cobalamin adenosyltransferase,G12WB-2063,
G12WB-3602-MONOMER,cobalamin biosynthesis protein CbiG,G12WB-3602,
