Proteins	Common-Name	Genes of polypeptide, complex, or RNA	Locations
FY484_RS18840-MONOMER	kinase/pyrophosphorylase	FY484_RS18840	
FY484_RS10530-MONOMER	NAD(P)H-dependent oxidoreductase	FY484_RS10530	CCI-CYTOSOL-GN
FY484_RS03155-MONOMER	polynucleotide adenylyltransferase PcnB	FY484_RS03155	
FY484_RS12540-MONOMER	intermembrane phospholipid transport system, periplasmic binding protein MlaC	FY484_RS12540	
FY484_RS05140-MONOMER	ribonuclease T	FY484_RS05140	CCI-CYTOSOL-GN
FY484_RS14530-MONOMER	peptidase M66	FY484_RS14530	
FY484_RS07095-MONOMER	tripartite efflux pump membrane protein VceB	FY484_RS07095	CCI-PM-BAC-NEG-GN
FY484_RS00935-MONOMER	VSP-I; deoxycytidylate deaminase	FY484_RS00935	
FY484_RS16805-MONOMER	DUF3332 domain-containing protein	FY484_RS16805	CCO-MEMBRANE
FY484_RS09070-MONOMER	hypothetical protein	FY484_RS09070	
FY484_RS18755-MONOMER	pirin family protein	FY484_RS18755	
FY484_RS10445-MONOMER	citrate synthase	FY484_RS10445	CCI-CYTOSOL-GN // CCO-MEMBRANE
FY484_RS03065-MONOMER	cytochrome <i>bc</i><sub>1</sub> complex cytochrome <i>c</i><sub>1</sub> protein	FY484_RS03065	CCI-PM-BAC-NEG-GN
FY484_RS12455-MONOMER	LPS export ABC transporter permease LptF	FY484_RS12455	CCI-PM-BAC-NEG-GN
FY484_RS05060-MONOMER	putative dipeptide/tripeptide:H<sup>+</sup> symporter	FY484_RS05060	CCI-PM-BAC-NEG-GN
FY484_RS14445-MONOMER	ribose ABC transporter substrate-binding protein	FY484_RS14445	CCI-PERI-BAC-GN
FY484_RS07015-MONOMER	cluster I/F9 chemosensory system, methyl-accepting chemotaxis protein	FY484_RS07015	CCO-MEMBRANE
FY484_RS00800-MONOMER	glutamate racemase	FY484_RS00800	
FY484_RS16720-MONOMER	EAL domain-containing protein	FY484_RS16720	
FY484_RS08975-MONOMER	phage tail assembly protein	FY484_RS08975	
FY484_RS18670-MONOMER	2OG-Fe(II) oxygenase	FY484_RS18670	
FY484_RS10365-MONOMER	HIT domain-containing protein	FY484_RS10365	
FY484_RS02985-MONOMER	S-ribosylhomocysteine lyase	FY484_RS02985	
FY484_RS12335-MONOMER	phosphoglycerate dehydrogenase	FY484_RS12335	CCI-CYTOSOL-GN
FY484_RS04970-MONOMER	NAD-dependent DNA ligase LigA	FY484_RS04970	CCI-CYTOSOL-GN
FY484_RS14355-MONOMER	type VI secretion system baseplate subunit TssG	FY484_RS14355	
FY484_RS06925-MONOMER	hsp70 family protein	FY484_RS06925	
FY484_RS00705-MONOMER	DUF2500 domain-containing protein	FY484_RS00705	
FY484_RS16635-MONOMER	DNA-binding transcriptional dual regulator Cra	FY484_RS16635	
FY484_RS08885-MONOMER	YjhT family mutarotase	FY484_RS08885	
FY484_RS18585-MONOMER	3'3'-cGAMP-specific phosphodiesterase	FY484_RS18585	
FY484_RS10285-MONOMER	flagellar transcriptional regulator FlrD	FY484_RS10285	CCO-MEMBRANE
FY484_RS02860-MONOMER	thiosulfate ABC transporter substrate-binding protein CysP	FY484_RS02860	CCI-PERI-BAC-GN
FY484_RS12245-MONOMER	translation elongation factor 4	FY484_RS12245	CCI-PM-BAC-NEG-GN
FY484_RS04885-MONOMER	DNA polymerase III subunit delta	FY484_RS04885	
FY484_RS14270-MONOMER	hypothetical protein	FY484_RS14270	
FY484_RS06845-MONOMER	TusE sulfur relay protein	FY484_RS06845	CCI-CYTOSOL-GN
FY484_RS00620-MONOMER	adenylate cyclase	FY484_RS00620	
FY484_RS16535-MONOMER	DUF2442 domain-containing protein	FY484_RS16535	
FY484_RS08800-MONOMER	tripartite efflux pump periplasmic adaptor protein	FY484_RS08800	CCO-MEMBRANE
FY484_RS18505-MONOMER	heme ABC transporter substrate-binding protein	FY484_RS18505	
FY484_RS10205-MONOMER	histone deacetylase	FY484_RS10205	
FY484_RS02775-MONOMER	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	FY484_RS02775	
FY484_RS12165-MONOMER	multifunctional CCA addition/repair protein	FY484_RS12165	
FY484_RS04805-MONOMER	exopolysaccharide export protein VpsN	FY484_RS04805	
FY484_RS14175-MONOMER	molybdopterin-dependent oxidoreductase	FY484_RS14175	
FY484_RS06760-MONOMER	Fe/S-dependent 2-methylisocitrate dehydratase AcnD	FY484_RS06760	CCI-CYTOSOL-GN
FY484_RS00525-MONOMER	methyl-accepting chemotaxis protein	FY484_RS00525	CCI-PM-BAC-NEG-GN
FY484_RS16440-MONOMER	type II toxin-antitoxin system, N-acetyltransferase-type toxin	FY484_RS16440	
FY484_RS08715-MONOMER	arginyltransferase	FY484_RS08715	CCI-CYTOSOL-GN
FY484_RS18425-MONOMER	6-phosphogluconolactonase	FY484_RS18425	CCI-CYTOSOL-GN
FY484_RS10100-MONOMER	phosphate acyltransferase PlsX	FY484_RS10100	CCI-CYTOSOL-GN
FY484_RS02680-MONOMER	VSP-II; peptidoglycan D,D-metalloendopeptidase ShyB	FY484_RS02680	CCO-MEMBRANE
FY484_RS12085-MONOMER	DNA topoisomerase IV subunit A	FY484_RS12085	CCI-CYTOSOL-GN // CCI-PM-BAC-NEG-GN
FY484_RS04725-MONOMER	exopolysaccharide biosynthesis acetyltransferase VpsC	FY484_RS04725	CCO-MEMBRANE
FY484_RS14095-MONOMER	MerR family transcriptional regulator	FY484_RS14095	
FY484_RS06675-MONOMER	histidine kinase CarS	FY484_RS06675	
FY484_RS00435-MONOMER	putative transporter, DMT family	FY484_RS00435	CCO-MEMBRANE
FY484_RS16330-MONOMER	hypothetical protein	FY484_RS16330	CCO-MEMBRANE
FY484_RS08625-MONOMER	chromosome partition protein MukF	FY484_RS08625	CCI-BAC-NUCLEOID-GN // CCI-CYTOSOL-GN
FY484_RS18330-MONOMER	MakC protein	FY484_RS18330	
FY484_RS10020-MONOMER	patatin family protein	FY484_RS10020	
FY484_RS02590-MONOMER	pyruvate kinase PykF	FY484_RS02590	CCI-CYTOSOL-GN
FY484_RS11995-MONOMER	pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase	FY484_RS11995	CCI-CYTOSOL-GN
FY484_RS04625-MONOMER	tetratricopeptide repeat protein	FY484_RS04625	
FY484_RS14010-MONOMER	putative serine/threonine:Na<sup>+</sup> symporter	FY484_RS14010	CCI-PM-BAC-NEG-GN
FY484_RS06590-MONOMER	aminodeoxychorismate synthase component 1	FY484_RS06590	CCI-CYTOSOL-GN
FY484_RS00345-MONOMER	thiazole biosynthesis adenylyltransferase ThiF	FY484_RS00345	CCI-CYTOSOL-GN
FY484_RS16210-MONOMER	site-specific DNA-methyltransferase	FY484_RS16210	CCI-CYTOSOL-GN
FY484_RS08545-MONOMER	hypothetical protein	FY484_RS08545	
FY484_RS18245-MONOMER	lysophospholipase VolA	FY484_RS18245	CCI-OUTER-MEM-GN
FY484_RS09940-MONOMER	formyltetrahydrofolate deformylase	FY484_RS09940	
FY484_RS02505-MONOMER	YqgE/AlgH family protein	FY484_RS02505	CCI-CYTOSOL-GN
FY484_RS11910-MONOMER	DUF721 domain-containing protein	FY484_RS11910	
FY484_RS04540-MONOMER	hypothetical protein	FY484_RS04540	
FY484_RS13920-MONOMER	type VI secretion system tip protein	FY484_RS13920	CCI-EXTRACELLULAR-GN
FY484_RS06505-MONOMER	chitin disaccharide deacetylase	FY484_RS06505	
FY484_RS00235-MONOMER	peptide deformylase	FY484_RS00235	
FY484_RS16100-MONOMER	DUF1289 domain-containing protein	FY484_RS16100	
FY484_RS08450-MONOMER	ABC transporter membrane protein	FY484_RS08450	CCI-PM-BAC-NEG-GN
FY484_RS18160-MONOMER	hypothetical protein	FY484_RS18160	CCO-MEMBRANE
FY484_RS09850-MONOMER	2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase	FY484_RS09850	
FY484_RS02425-MONOMER	oxidative damage protection protein	FY484_RS02425	CCI-CYTOSOL-GN
FY484_RS11825-MONOMER	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	FY484_RS11825	CCI-CYTOSOL-GN
FY484_RS04455-MONOMER	putative minor pilin	FY484_RS04455	CCO-MEMBRANE
FY484_RS13825-MONOMER	chromosome 1 partion protein A	FY484_RS13825	
FY484_RS06420-MONOMER	peptidoglycan L,D-endopeptidase	FY484_RS06420	
FY484_RS00150-MONOMER	branched-chain-amino-acid transaminase	FY484_RS00150	CCI-CYTOSOL-GN
FY484_RS15990-MONOMER	hypothetical protein	FY484_RS15990	
FY484_RS08370-MONOMER	ABC transporter ATP-binding protein	FY484_RS08370	CCI-PM-BAC-NEG-GN
FY484_RS18075-MONOMER	diaminobutyrate--2-oxoglutarate transaminase	FY484_RS18075	
FY484_RS02300-MONOMER	octaprenyl diphosphate synthase	FY484_RS02300	
FY484_RS11745-MONOMER	threonine synthase	FY484_RS11745	CCI-CYTOSOL-GN
FY484_RS04355-MONOMER	murein D,D-endopeptidase	FY484_RS04355	CCO-MEMBRANE
FY484_RS13745-MONOMER	YigZ family protein	FY484_RS13745	
FY484_RS06330-MONOMER	CinA family nicotinamide mononucleotide deamidase-related protein	FY484_RS06330	
FY484_RS00055-MONOMER	chromosomal replication initiator protein DnaA	FY484_RS00055	CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
FY484_RS15855-MONOMER	DUF3709 domain-containing protein	FY484_RS15855	
FY484_RS08285-MONOMER	SgrR family transcriptional regulator	FY484_RS08285	CCI-PERI-BAC-GN
FY484_RS17990-MONOMER	exoribonuclease II	FY484_RS17990	CCI-CYTOSOL-GN
FY484_RS02215-MONOMER	rod shape-determining protein MreD	FY484_RS02215	CCI-PM-BAC-NEG-GN
FY484_RS11665-MONOMER	phosphoserine phosphatase	FY484_RS11665	CCI-CYTOSOL-GN
FY484_RS04275-MONOMER	toxin-coregulated pilus, chaperone protein TcpH	FY484_RS04275	
FY484_RS06250-MONOMER	CidA/LrgA family protein	FY484_RS06250	CCI-PM-BAC-NEG-GN
FY484_RS13610-MONOMER	virulence factor BrkB family protein	FY484_RS13610	CCI-PM-BAC-NEG-GN
FY484_RS15745-MONOMER	hypothetical protein	FY484_RS15745	
FY484_RS08200-MONOMER	putative efflux transporter, MATE family	FY484_RS08200	CCO-MEMBRANE
FY484_RS17900-MONOMER	cyclic-guanylate-specific phosphodiesterase CdgC	FY484_RS17900	
FY484_RS02135-MONOMER	mannose-sensitive hemagglutinin, biogenesis protein MshK	FY484_RS02135	
FY484_RS11585-MONOMER	YebG family protein	FY484_RS11585	
FY484_RS04175-MONOMER	NAD(P)/FAD-dependent oxidoreductase	FY484_RS04175	
FY484_RS06140-MONOMER	uncharacterized protein	FY484_RS06140	CCI-PM-BAC-NEG-GN
FY484_RS13530-MONOMER	type II secretion system inner membrane protein GspL	FY484_RS13530	CCI-CW-BAC-NEG-GN // CCI-PM-BAC-NEG-GN
FY484_RS15630-MONOMER	DUF3265 domain-containing protein	FY484_RS15630	
FY484_RS08110-MONOMER	hypothetical protein	FY484_RS08110	CCO-MEMBRANE
FY484_RS17825-MONOMER	ACP phosphodiesterase	FY484_RS17825	
FY484_RS02025-MONOMER	hypothetical protein	FY484_RS02025	
FY484_RS17810-MONOMER	cytochrome c	FY484_RS17810	
FY484_RS02010-MONOMER	envelope stress response protein PspG	FY484_RS02010	
FY484_RS11490-MONOMER	muropeptide:proton symporter	FY484_RS11490	CCO-MEMBRANE
FY484_RS04080-MONOMER	D-amino acid dehydrogenase	FY484_RS04080	CCI-CYTOSOL-GN // CCI-PM-BAC-NEG-GN
FY484_RS06040-MONOMER	phosphoribosylaminoimidazolesuccinocarboxamide synthase	FY484_RS06040	CCI-CYTOSOL-GN
FY484_RS13430-MONOMER	DUF4212 domain-containing protein	FY484_RS13430	CCO-MEMBRANE
FY484_RS15520-MONOMER	DUF645 family protein	FY484_RS15520	
FY484_RS08005-MONOMER	UDP-glucose--hexose-1-phosphate uridylyltransferase	FY484_RS08005	CCI-CYTOSOL-GN
FY484_RS01945-MONOMER	30S ribosomal protein S6	FY484_RS01945	CCI-RIBOSOME-GN
FY484_RS17715-MONOMER	anaerobic glycerol-3-phosphate dehydrogenase subunit GlpB	FY484_RS17715	
FY484_RS11405-MONOMER	putative solute:Na<sup>+</sup> symporter	FY484_RS11405	CCO-MEMBRANE
FY484_RS03995-MONOMER	IMP dehydrogenase	FY484_RS03995	
FY484_RS05960-MONOMER	anthranilate synthase component 2	FY484_RS05960	
FY484_RS13345-MONOMER	cell division protein ZapB	FY484_RS13345	CCI-CYTOSOL-GN
FY484_RS15410-MONOMER	hypothetical protein	FY484_RS15410	
FY484_RS07925-MONOMER	Lipid A modification system glycine--protein ligase AlmE	FY484_RS07925	
FY484_RS01865-MONOMER	FtsH protease activity modulator HflK	FY484_RS01865	CCI-PM-BAC-NEG-GN
FY484_RS17625-MONOMER	SIR2 family protein	FY484_RS17625	
FY484_RS19600-MONOMER	DUF3265 domain-containing protein	FY484_RS19600	
FY484_RS11325-MONOMER	transcription antitermination factor NusB	FY484_RS11325	CCI-CYTOSOL-GN
FY484_RS03915-MONOMER	co-chaperone HscB	FY484_RS03915	CCI-CYTOSOL-GN
FY484_RS13265-MONOMER	5-carboxymethyl-2-hydroxymuconate Delta-isomerase	FY484_RS13265	
FY484_RS05895-MONOMER	alpha-L-glutamate ligase-like protein	FY484_RS05895	CCI-CYTOSOL-GN
FY484_RS15305-MONOMER	DUF645 family protein	FY484_RS15305	
FY484_RS07840-MONOMER	catalase/peroxidase HPI	FY484_RS07840	CCI-CYTOSOL-GN
FY484_RS01745-MONOMER	TetR/AcrR family transcriptional regulator	FY484_RS01745	
FY484_RS17545-MONOMER	diacylglycerol kinase	FY484_RS17545	CCI-PM-BAC-NEG-GN
FY484_RS19490-MONOMER	hypothetical protein	FY484_RS19490	
FY484_RS11245-MONOMER	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	FY484_RS11245	
FY484_RS03830-MONOMER	alkylhydroperoxide reductase	FY484_RS03830	CCI-CYTOSOL-GN
FY484_RS13180-MONOMER	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	FY484_RS13180	CCI-CYTOSOL-GN
FY484_RS05815-MONOMER	ATP-dependent Clp protease adapter ClpS	FY484_RS05815	
FY484_RS15190-MONOMER	50S ribosomal protein L20	FY484_RS15190	CCI-RIBOSOME-GN
FY484_RS07760-MONOMER	hypothetical protein	FY484_RS07760	
FY484_RS01645-MONOMER	GNAT family N-acetyltransferase	FY484_RS01645	
FY484_RS17465-MONOMER	protein secretion monitor	FY484_RS17465	
FY484_RS09720-MONOMER	TauD/TfdA family dioxygenase	FY484_RS09720	
FY484_RS19395-MONOMER	SDR family oxidoreductase	FY484_RS19395	CCI-CYTOSOL-GN
FY484_RS11165-MONOMER	DNA polymerase III subunit epsilon	FY484_RS11165	CCI-CYTOSOL-GN
FY484_RS03750-MONOMER	DUF1904 domain-containing protein	FY484_RS03750	
FY484_RS13100-MONOMER	putative type IVa pilus assembly protein PilO	FY484_RS13100	CCO-MEMBRANE
FY484_RS05735-MONOMER	high frequency lysogenization protein HflD	FY484_RS05735	CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
FY484_RS15100-MONOMER	hypothetical protein	FY484_RS15100	
FY484_RS07675-MONOMER	molybdenum cofactor guanylyltransferase MobA	FY484_RS07675	CCI-CYTOSOL-GN
FY484_RS01530-MONOMER	acetyl-CoA carboxylase biotin carboxyl carrier protein	FY484_RS01530	CCI-CYTOSOL-GN
FY484_RS17375-MONOMER	NapA-specific chaperone NapD	FY484_RS17375	CCI-CYTOSOL-GN
FY484_RS09625-MONOMER	sensor histidine kinase	FY484_RS09625	
FY484_RS19315-MONOMER	cluster III/F7 chemosensory system, chemoreceptor glutamine deamidase CheD	FY484_RS19315	
FY484_RS11080-MONOMER	glutamate--tRNA ligase	FY484_RS11080	CCI-CYTOSOL-GN
FY484_RS03645-MONOMER	two-component system histidine kinase	FY484_RS03645	CCI-PM-BAC-NEG-GN
FY484_RS13020-MONOMER	succinylglutamate-semialdehyde dehydrogenase	FY484_RS13020	
FY484_RS05655-MONOMER	adenosylmethionine--8-amino-7-oxononanoate transaminase	FY484_RS05655	CCI-CYTOSOL-GN
FY484_RS15015-MONOMER	hypothetical protein	FY484_RS15015	
FY484_RS07595-MONOMER	hypothetical protein	FY484_RS07595	CCO-MEMBRANE
FY484_RS01440-MONOMER	hypothetical protein	FY484_RS01440	
FY484_RS17290-MONOMER	aminoimidazole riboside kinase	FY484_RS17290	
FY484_RS09540-MONOMER	HTH-type transcriptional regulator CysB	FY484_RS09540	
FY484_RS19235-MONOMER	1-pyrroline-5-carboxylate dehydrogenase	FY484_RS19235	
FY484_RS11000-MONOMER	flagellar hook assembly protein FlgD	FY484_RS11000	
FY484_RS03565-MONOMER	transcriptional activator NhaR	FY484_RS03565	CCI-CYTOSOL-GN
FY484_RS12935-MONOMER	ribonuclease R	FY484_RS12935	CCI-CYTOSOL-GN
FY484_RS05570-MONOMER	oligopeptide ABC transporter permease OppC	FY484_RS05570	CCI-PM-BAC-NEG-GN
FY484_RS14935-MONOMER	hypothetical protein	FY484_RS14935	
FY484_RS07515-MONOMER	DUF2835 domain-containing protein	FY484_RS07515	
FY484_RS01360-MONOMER	glycosyltransferase family 4 protein	FY484_RS01360	CCO-MEMBRANE
FY484_RS17210-MONOMER	YeeE/YedE family protein	FY484_RS17210	CCO-MEMBRANE
FY484_RS09460-MONOMER	non-electrogenic NADH dehydrogenase II	FY484_RS09460	CCI-CYTOSOL-GN
FY484_RS19155-MONOMER	NAD(P)-dependent oxidoreductase	FY484_RS19155	
FY484_RS10840-MONOMER	glutamyl-tRNA reductase	FY484_RS10840	
FY484_RS03485-MONOMER	peptide chain release factor 3	FY484_RS03485	CCI-CYTOSOL-GN
FY484_RS12855-MONOMER	30S ribosomal protein S14	FY484_RS12855	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
FY484_RS05485-MONOMER	YbhB/YbcL family Raf kinase inhibitor-like protein	FY484_RS05485	
FY484_RS14850-MONOMER	GGDEF domain-containing protein	FY484_RS14850	CCI-PM-BAC-NEG-GN
FY484_RS07430-MONOMER	phage/plasmid replication protein, II/X family	FY484_RS07430	
FY484_RS01250-MONOMER	O-antigen ligase WaaL	FY484_RS01250	CCO-MEMBRANE
FY484_RS17125-MONOMER	transaldolase	FY484_RS17125	CCI-CYTOSOL-GN
FY484_RS09380-MONOMER	YeaH/YhbH family protein	FY484_RS09380	
FY484_RS19070-MONOMER	amino acid ABC transporter ATP-binding protein	FY484_RS19070	CCI-PM-BAC-NEG-GN
FY484_RS10760-MONOMER	methyl-accepting chemotaxis protein Mlp24	FY484_RS10760	CCI-PM-BAC-NEG-GN
FY484_RS03405-MONOMER	translation initiation factor IF-2	FY484_RS03405	CCI-CYTOSOL-GN
FY484_RS12775-MONOMER	OapA family protein	FY484_RS12775	
FY484_RS05400-MONOMER	YcgN family cysteine cluster protein	FY484_RS05400	
FY484_RS14760-MONOMER	DNA cytosine methyltransferase	FY484_RS14760	
FY484_RS07335-MONOMER	zonula occludens toxin	FY484_RS07335	
FY484_RS01170-MONOMER	hypothetical protein	FY484_RS01170	
FY484_RS17040-MONOMER	2-aminoethylphosphonate--pyruvate transaminase	FY484_RS17040	
FY484_RS09295-MONOMER	primosomal replication protein	FY484_RS09295	
FY484_RS18990-MONOMER	LysR family transcriptional regulator	FY484_RS18990	
FY484_RS10680-MONOMER	flagellar protein FlaG	FY484_RS10680	
FY484_RS03310-MONOMER	iron-sulfur cluster insertion protein ErpA	FY484_RS03310	CCI-CYTOSOL-GN
FY484_RS12695-MONOMER	YtfJ family protein	FY484_RS12695	
FY484_RS05310-MONOMER	low molecular weight phosphotyrosine protein phosphatase	FY484_RS05310	
FY484_RS14675-MONOMER	peptidase T	FY484_RS14675	CCI-CYTOSOL-GN
FY484_RS07245-MONOMER	cytochrome <i>cbb<sub>3</sub></i> oxidase subunit II	FY484_RS07245	CCO-MEMBRANE
FY484_RS01085-MONOMER	MurR/RpiR family transcriptional regulator	FY484_RS01085	
FY484_RS16960-MONOMER	TetR/AcrR family transcriptional regulator	FY484_RS16960	
FY484_RS09215-MONOMER	cyd operon protein YbgE	FY484_RS09215	CCO-MEMBRANE
FY484_RS18910-MONOMER	AraC family transcriptional regulator	FY484_RS18910	
FY484_RS10600-MONOMER	flagellar motor switch protein FliM	FY484_RS10600	CCI-PM-BAC-NEG-GN // CCO-CELL-PROJECTION
FY484_RS03220-MONOMER	Fe<sup>3+</sup> ABC transporter membrane protein	FY484_RS03220	CCI-PM-BAC-NEG-GN
FY484_RS12610-MONOMER	RNase adapter RapZ	FY484_RS12610	
FY484_RS05215-MONOMER	histidine-phosphotransfer protein	FY484_RS05215	
FY484_RS14595-MONOMER	tryptophanase leader peptide	FY484_RS14595	
FY484_RS07165-MONOMER	periplasmic substrate-binding protein	FY484_RS07165	CCI-PERI-BAC-GN
FY484_RS01000-MONOMER	glutathione-disulfide reductase	FY484_RS01000	CCI-CYTOSOL-GN
FY484_RS16875-MONOMER	YoaH family protein	FY484_RS16875	
FY484_RS09135-MONOMER	putative PTS enzyme IIB component	FY484_RS09135	CCI-PM-BAC-NEG-GN
FY484_RS18825-MONOMER	putative L-lactate transporter	FY484_RS18825	CCI-PM-BAC-NEG-GN
FY484_RS10515-MONOMER	4-phosphoerythronate dehydrogenase	FY484_RS10515	CCI-CYTOSOL-GN
FY484_RS03140-MONOMER	pantoate--beta-alanine ligase	FY484_RS03140	CCI-CYTOSOL-GN
FY484_RS12525-MONOMER	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	FY484_RS12525	CCI-CYTOSOL-GN
FY484_RS05125-MONOMER	CvpA family protein	FY484_RS05125	CCO-MEMBRANE
FY484_RS14515-MONOMER	putative TAXI-TRAP type transporter substrate-binding protein	FY484_RS14515	
FY484_RS07080-MONOMER	TetR family multidrug efflux transcriptional regulator VceR	FY484_RS07080	
FY484_RS00920-MONOMER	ABC transporter permease	FY484_RS00920	
FY484_RS16785-MONOMER	hypothetical protein	FY484_RS16785	
FY484_RS09050-MONOMER	DUF2787 family protein	FY484_RS09050	
FY484_RS18740-MONOMER	LysR family transcriptional regulator	FY484_RS18740	
FY484_RS10430-MONOMER	succinate dehydrogenase flavoprotein subunit	FY484_RS10430	CCI-PM-BAC-NEG-GN
FY484_RS03050-MONOMER	30S ribosomal protein S9	FY484_RS03050	CCI-RIBOSOME-GN
FY484_RS12435-MONOMER	HD-GYP domain-containing protein	FY484_RS12435	
FY484_RS05045-MONOMER	molecular chaperone HtpG	FY484_RS05045	CCI-CYTOSOL-GN
FY484_RS14430-MONOMER	D-ribose pyranase	FY484_RS14430	CCI-CYTOSOL-GN
FY484_RS07000-MONOMER	putative transporter, major facilitator superfamily	FY484_RS07000	CCI-PM-BAC-NEG-GN
FY484_RS00780-MONOMER	tRNA (uridine(54)-C5)-methyltransferase TrmA	FY484_RS00780	CCI-CYTOSOL-GN
FY484_RS16705-MONOMER	twin-arginine translocase TatA/TatE family subunit	FY484_RS16705	CCI-PM-BAC-NEG-GN
FY484_RS08960-MONOMER	hypothetical protein	FY484_RS08960	
FY484_RS18655-MONOMER	maltose ABC transporter ATP-binding protein	FY484_RS18655	CCI-PM-BAC-NEG-GN
FY484_RS10350-MONOMER	insulinase family protein	FY484_RS10350	
FY484_RS02970-MONOMER	DedA family protein	FY484_RS02970	CCI-PM-BAC-NEG-GN
FY484_RS12315-MONOMER	cell division protein ZapA	FY484_RS12315	CCI-CYTOSOL-GN
FY484_RS04955-MONOMER	cysteine synthase A	FY484_RS04955	CCI-CYTOSOL-GN
FY484_RS14340-MONOMER	type VI secretion system contractile sheath large subunit	FY484_RS14340	
FY484_RS06910-MONOMER	diguanylate cyclase	FY484_RS06910	CCO-MEMBRANE
FY484_RS00690-MONOMER	putative transporter	FY484_RS00690	CCI-PM-BAC-NEG-GN
FY484_RS16620-MONOMER	fructose-specific PTS multiphosphoryl transfer protein FruA	FY484_RS16620	CCI-PM-BAC-NEG-GN
FY484_RS08870-MONOMER	DNA-defence module protein E	FY484_RS08870	
FY484_RS18570-MONOMER	hypothetical protein	FY484_RS18570	
FY484_RS10270-MONOMER	cytochome <i>c</i> maturation protein C	FY484_RS10270	CCI-PM-BAC-NEG-GN
FY484_RS02845-MONOMER	RNA polymerase sigma factor RpoS	FY484_RS02845	CCI-CYTOSOL-GN
FY484_RS12230-MONOMER	GTPase Era	FY484_RS12230	CCI-CYTOSOL-GN // CCI-PM-BAC-NEG-GN
FY484_RS04870-MONOMER	penicillin-binding protein 2	FY484_RS04870	CCI-PM-BAC-NEG-GN
FY484_RS14255-MONOMER	DUF134 domain-containing protein	FY484_RS14255	
FY484_RS06830-MONOMER	diguanylate cyclase	FY484_RS06830	CCI-PM-BAC-NEG-GN
FY484_RS00600-MONOMER	uroporphyrinogen-III C-methyltransferase	FY484_RS00600	CCO-MEMBRANE
FY484_RS16520-MONOMER	glutathione S-transferase N-terminal domain-containing protein	FY484_RS16520	
FY484_RS08785-MONOMER	intermembrane transport protein PqiA	FY484_RS08785	CCI-PM-BAC-NEG-GN
FY484_RS18490-MONOMER	energy transducing protein TonB1	FY484_RS18490	CCI-PM-BAC-NEG-GN // CCI-PERI-BAC-GN
FY484_RS10180-MONOMER	nucleoid-associated protein YejK	FY484_RS10180	CCI-BAC-NUCLEOID-GN // CCI-CYTOSOL-GN
FY484_RS02760-MONOMER	DNA primase	FY484_RS02760	
FY484_RS12150-MONOMER	SH3 domain-containing protein	FY484_RS12150	CCO-MEMBRANE
FY484_RS04790-MONOMER	hypothetical protein	FY484_RS04790	
FY484_RS14160-MONOMER	phosphate ABC transporter membrane protein	FY484_RS14160	CCI-PM-BAC-NEG-GN
FY484_RS06745-MONOMER	GntR family transcriptional regulator	FY484_RS06745	
FY484_RS00505-MONOMER	4-hydroxybenzoate octaprenyltransferase	FY484_RS00505	CCI-PM-BAC-NEG-GN
FY484_RS16420-MONOMER	type II toxin-antitoxin system, RelE-family toxin	FY484_RS16420	
FY484_RS08695-MONOMER	YciN family protein	FY484_RS08695	
FY484_RS18410-MONOMER	phosphatase	FY484_RS18410	CCI-CYTOSOL-GN
FY484_RS10085-MONOMER	3-oxoacyl-ACP reductase FabG	FY484_RS10085	
FY484_RS02655-MONOMER	VSP-II; ribonuclease HI	FY484_RS02655	
FY484_RS12070-MONOMER	dephospho-CoA kinase	FY484_RS12070	CCI-CYTOSOL-GN
FY484_RS04710-MONOMER	exopolysaccharide regulatory protein-tyrosine phosphatase VpsU	FY484_RS04710	
FY484_RS14075-MONOMER	hypothetical protein	FY484_RS14075	
FY484_RS06660-MONOMER	CheY-family response regulator	FY484_RS06660	
FY484_RS00420-MONOMER	non-heme ferritin	FY484_RS00420	CCI-CYTOSOL-GN
FY484_RS16305-MONOMER	hypothetical protein	FY484_RS16305	
FY484_RS08610-MONOMER	Lrp/AsnC family transcriptional regulator	FY484_RS08610	CCI-CYTOSOL-GN
FY484_RS18315-MONOMER	linear amide C-N hydrolase	FY484_RS18315	
FY484_RS10005-MONOMER	cluster II/F6 chemosensory system, CheV family protein	FY484_RS10005	
FY484_RS02575-MONOMER	putative transporter	FY484_RS02575	CCI-PM-BAC-NEG-GN
FY484_RS11975-MONOMER	cell division protein FtsL	FY484_RS11975	CCI-PM-BAC-NEG-GN
FY484_RS04610-MONOMER	flap endonuclease Xni	FY484_RS04610	
FY484_RS13995-MONOMER	alkaline phosphatase	FY484_RS13995	
FY484_RS06575-MONOMER	L-serine ammonia-lyase	FY484_RS06575	
