Proteins,Common-Name,"Genes of polypeptide, complex, or RNA",Locations
STM1417-MONOMER,type III secretion system protein,STM1417,
STM3648-MONOMER,putative transcriptional regulator,STM3648,
STM0992-MONOMER,condensin subunit,STM0992,CCI-BAC-NUCLEOID-GN // CCI-CYTOSOL-GN
PSLT110-MONOMER,conjugative transfer: fimbrial acetylation,PSLT110,CCO-MEMBRANE
STM1367-MONOMER,putative cytoplasmic protein,STM1367,
PSLT053-MONOMER,plasmid partition protein B,PSLT053,
STM4087-MONOMER,aquaporin,STM4087,CCI-PM-BAC-NEG-GN
STM4038-MONOMER,sulfurtransferase,STM4038,CCI-CYTOSOL-GN
STM4422-MONOMER,putative cytoplasmic protein,STM4422,
STM4473-MONOMER,"<i>O</i>-acetyl-serine <i>N</i>-acetyltransferase, OatA",STM4473,
STM1741-MONOMER,putative voltage-gated potassium channel,STM1741,CCI-PM-BAC-NEG-GN
STM0329-MONOMER,3-isopropylmalate dehydratase large subunit,STM0329,
STM1794-MONOMER,YbgT family membrane protein,STM1794,CCO-MEMBRANE
STM2120-MONOMER,outer membrane assembly protein,STM2120,CCI-PM-BAC-NEG-GN
STM2878-MONOMER,pathogenicity island 1 effector protein,STM2878,CCI-EXTRACELLULAR-GN
STM0379-MONOMER,putative inner membrane protein,STM0379,CCO-MEMBRANE
STM2498-MONOMER,uracil phosphoribosyltransferase,STM2498,CCI-CYTOSOL-GN
STM0584-MONOMER,phosphopantetheinyl transferase,STM0584,CCI-PM-BAC-NEG-GN
STM2170-MONOMER,"putative DedA family, membrane protein",STM2170,CCI-PM-BAC-NEG-GN
STM3255-MONOMER,PTS tagatose transporter IIBC<sup>Tag</sup>,STM3255,CCI-PM-BAC-NEG-GN
STM3631-MONOMER,nucleobase:cation symporter,STM3631,CCI-PM-BAC-NEG-GN
STM2928-MONOMER,tRNA pseudouridine(13) synthase,STM2928,CCI-CYTOSOL-GN
STM0976-MONOMER,putative inner membrane protein,STM0976,CCI-PM-BAC-NEG-GN
STM1350-MONOMER,cyclohexanecarboxylate-CoA ligase,STM1350,
STM2548-MONOMER,anaerobic sulfite reductase subunit A,STM2548,CCI-CYTOSOL-GN
PSLT037-MONOMER,Salmonella plasmid virulence: hydrophilic protein,PSLT037,
STM1347-MONOMER,3-deoxy-7-phosphoheptulonate synthase,STM1347,CCI-CYTOSOL-GN
STM0636-MONOMER,hypothetical protein,STM0636,CCI-CYTOSOL-GN
PSLT034-MONOMER,putative adhesin,PSLT034,CCI-OUTER-MEM-GN
STM4019-MONOMER,,STM4019,
STM3308-MONOMER,putative BolA family transcriptional regulator,STM3308,
STM4403-MONOMER,"2',3'-cyclic-nucleotide 2'-phosphodiesterase",STM4403,CCI-PERI-BAC-GN
STM1722-MONOMER,trp operon leader peptide,STM1722,
STM3683-MONOMER,L-seryl-tRNA(Sec) selenium transferase,STM3683,CCI-CYTOSOL-GN
STM0307-MONOMER,Homology to Shigella VirG protein,STM0307,CCI-PERI-BAC-GN
STM2101-MONOMER,colanic acid biosynthesis pyruvyl transferase,STM2101,
STM1026-MONOMER,Gifsy-2 prophage protein,STM1026,
STM2859-MONOMER,transcriptional regulator,STM2859,
STM2479-MONOMER,oxidoreductase FeS-binding subunit,STM2479,
STM1401-MONOMER,pathogenicity island 2 effector protein,STM1401,CCI-EXTRACELLULAR-GN
STM0565-MONOMER,putative periplasmic protein,STM0565,
STM3235-MONOMER,putative LysR family transcriptional regulator,STM3235,
PSLT093-MONOMER,conjugative transfer protein,PSLT093,CCO-MEMBRANE
STM3613-MONOMER,putative Zn-dependent peptidase,STM3613,CCI-PERI-BAC-GN
STM0956-MONOMER,cysteine/glutathione ABC transporter ATP-binding protein/permease,STM0956,CCI-PM-BAC-NEG-GN
STM4071-MONOMER,putative mannose-6-phosphate isomerase,STM4071,
STM1331-MONOMER,putative inner membrane protein,STM1331,
PSLT016-MONOMER,plasmid-encoded fimbriae;chaperone,PSLT016,CCI-PERI-BAC-GN
STM4457-MONOMER,putative transposase,STM4457,CCO-MEMBRANE
STM4003-MONOMER,GTPase-activating protein,STM4003,
STM4387-MONOMER,xylulose 5-phosphate 3-epimerase,STM4387,
STM1778-MONOMER,lipoprotein localization factor,STM1778,CCI-OUTER-MEM-GN
STM1706-MONOMER,translation initiation factor,STM1706,
STM0289-MONOMER,type VI secretion protein,STM0289,
STM0363-MONOMER,AraC family transcriptional regulator,STM0363,
STM2085-MONOMER,"dTDP-Rha:&alpha;-<small>D</small>-Gal-diphosphoundecaprenol &alpha;-1,3-rhamnosyltransferase",STM2085,
STM2843-MONOMER,electron transporter,STM2843,
STM2155-MONOMER,methionine--tRNA ligase,STM2155,CCI-CYTOSOL-GN
STM2463-MONOMER,acetaldehyde dehydrogenase (acetylating),STM2463,
STM0545-MONOMER,fimbrial chaperone protein,STM0545,CCI-PERI-BAC-GN
STM2912-MONOMER,putative LysR family transcriptional regulator,STM2912,
STM3219-MONOMER,"NADPH-dependent 2,4-dienoyl-CoA reductase",STM3219,
STM3597-MONOMER,glutathione-disulfide reductase,STM3597,CCI-CYTOSOL-GN
STM2532-MONOMER,putative inner membrane lipoprotein,STM2532,CCI-PM-BAC-NEG-GN // CCI-EXTRACELLULAR-GN
STM0937-MONOMER,hydroxylamine reductase,STM0937,CCI-CYTOSOL-GN
STM1315-MONOMER,transcriptional repressor of cel operon,STM1315,
STM0620-MONOMER,2-(5'-triphosphoribosyl)-3'-dephospho CoA synthase,STM0620,
MONOMER1R65-21,PanD &beta; cleavage product,STM0180,
STM3981-MONOMER,putative cytoplasmic protein,STM3981,
STM3290-MONOMER,argininosuccinate synthetase,STM3290,
STM4371-MONOMER,putative phage shock protein A,STM4371,CCI-CYTOSOL-GN
STM1691-MONOMER,phage shock protein operon transcriptional activator,STM1691,
STM3667-MONOMER,IclR family transcriptional repressor,STM3667,
STM0274-MONOMER,EvpB family type VI secretion protein,STM0274,
STM2069-MONOMER,putative LysR family transcriptional regulator,STM2069,
STM1010-MONOMER,Gifsy-2 prophage protein,STM1010,
STM2827-MONOMER,alanine--tRNA ligase,STM2827,CCI-CYTOSOL-GN
STM2447-MONOMER,RpoE-regulated lipoprotein,STM2447,
STM1385-MONOMER,"tetrathionate reductase complex, subunit B",STM1385,CCI-PERI-BAC-GN // CCI-PM-BAC-NEG-GN
STM0529-MONOMER,acyl-CoA synthetase,STM0529,CCI-CYTOSOL-GN
STM3202-MONOMER,CYTH domain-containing protein,STM3202,
PSLT075-MONOMER,conjugative transfer: regulation,PSLT075,
STM3581-MONOMER,putative MFS family transport protein,STM3581,
STM0921-MONOMER,putative Fels-1 prophage minor tail protein,STM0921,
STM4055-MONOMER,superoxide dismutase,STM4055,
STM1299-MONOMER,glutamate dehydrogenase,STM1299,CCI-CYTOSOL-GN
STM3965-MONOMER,5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase,STM3965,
STM4440-MONOMER,putative cytoplasmic protein,STM4440,
STM4355-MONOMER,putative Fe-S protein,STM4355,CCI-CYTOSOL-GN
STM1675-MONOMER,putative short-chain alcohol dehydrogenase,STM1675,
STM1762-MONOMER,nitrate reductase molybdenum cofactor assembly chaperone,STM1762,
STM0257-MONOMER,MFS sugar transporter,STM0257,CCI-PM-BAC-NEG-GN
STM2053-MONOMER,,STM2053,CCO-MEMBRANE
STM0347-MONOMER,transcriptional regulator,STM0347,
STM2806-MONOMER,ribonucleotide reductase assembly protein,STM2806,
STM2431-MONOMER,HPr family phosphocarrier,STM2431,CCI-CYTOSOL-GN
STM2139-MONOMER,putative inner membrane protein,STM2139,CCO-MEMBRANE
STM3186-MONOMER,outer membrane channel,STM3186,CCO-MEMBRANE
STM3565-MONOMER,PanD maturation factor,STM3565,
STM2896-MONOMER,EscV/YscV/HrcV family type III secretion system export apparatus protein,STM2896,CCI-PM-BAC-NEG-GN
STM0905-MONOMER,Fels-1 prophage hypothetical protein,STM0905,
STM3949-MONOMER,tyrosine recombinase,STM3949,CCI-CYTOSOL-GN
STM2516-MONOMER,putative outer membrane protein,STM2516,
STM4336-MONOMER,putative entericidin B precursor,STM4336,CCI-PM-BAC-NEG-GN
STM1658-MONOMER,DNA endonuclease,STM1658,
STM0604-MONOMER,putative transcriptional regulator,STM0604,
STM0234-MONOMER,lysine decarboxylase,STM0234,CCI-CYTOSOL-GN
STM2037-MONOMER,propanediol diffusion facilitator,STM2037,CCI-PM-BAC-NEG-GN
STM3273-MONOMER,putative lipid carrier protein,STM3273,CCI-CYTOSOL-GN
STM2790-MONOMER,hydroxyglutarate oxidase,STM2790,CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
STM2409-MONOMER,nucleoside permease,STM2409,CCI-PM-BAC-NEG-GN
STM3650-MONOMER,putative periplasmic or exported protein,STM3650,
STM3170-MONOMER,C4-dicarboxylate ABC transporter permease,STM3170,CCI-PM-BAC-NEG-GN
STM3549-MONOMER,putative inner membrane protein,STM3549,CCI-PM-BAC-NEG-GN
STM0994-MONOMER,cell division protein,STM0994,CCI-BAC-NUCLEOID-GN // CCI-CYTOSOL-GN
STM0890-MONOMER,arginine ABC transporter substrate-binding protein,STM0890,CCI-PERI-BAC-GN // CCO-MEMBRANE
STM3928-MONOMER,enterobacterial common antigen polymerase,STM3928,CCI-PM-BAC-NEG-GN
STM1369-MONOMER,Fe-S cluster assembly scaffold,STM1369,CCI-CYTOSOL-GN
STM1270-MONOMER,leucine efflux protein,STM1270,CCI-PM-BAC-NEG-GN
STM4319A-MONOMER,ethyl tert-butyl ether degradation protein,STM4319A,
PSLT055-MONOMER,mutagenesis by UV and mutagens; related to umuDC operon,PSLT055,
STM1642-MONOMER,FMN-dependent NADH-azoreductase,STM1642,
STM0218-MONOMER,UMP kinase,STM0218,CCI-CYTOSOL-GN
STM4040-MONOMER,putative cytoplasmic protein,STM4040,
STM2773-MONOMER,putative glycosyl transferase,STM2773,
STM2024-MONOMER,cobalt-sirohydrochlorin (C20)-methyltransferase,STM2024,
STM4424-MONOMER,putative endonuclease,STM4424,
STM2392-MONOMER,phospholipid-binding lipoprotein,STM2392,CCO-MEMBRANE
STM3154-MONOMER,putative ATP-dependent RNA helicase-like protein,STM3154,CCO-MEMBRANE
STM1743-MONOMER,oligopeptide ABC transporter ATP-binding protein,STM1743,CCI-PM-BAC-NEG-GN
STM3533-MONOMER,IclR family transcriptional regulator,STM3533,
STM0873-MONOMER,putative inner membrane protein,STM0873,CCO-MEMBRANE
STM0331-MONOMER,"5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase",STM0331,
STM3910-MONOMER,peptidylprolyl isomerase,STM3910,CCI-CYTOSOL-GN
STM1253-MONOMER,cytochrome b,STM1253,CCI-PM-BAC-NEG-GN
STM2122-MONOMER,uridine kinase,STM2122,CCI-CYTOSOL-GN
STM4304-MONOMER,two-component system sensor histidine kinase,STM4304,CCI-PM-BAC-NEG-GN
STM1626-MONOMER,methyl-accepting chemotaxis protein,STM1626,CCI-PM-BAC-NEG-GN
STM2880-MONOMER,putative cytoplasmic protein,STM2880,
STM0202-MONOMER,"glutamate-1-semialdehyde 2,1-aminomutase subunit",STM0202,CCI-CYTOSOL-GN
STM2006-MONOMER,putative branched chain amino acid transport protein,STM2006,
STM2500-MONOMER,phosphoribosylglycinamide formyltransferase,STM2500,CCI-CYTOSOL-GN
STM2376-MONOMER,putative periplasmic protein,STM2376,
STM3138-MONOMER,chemotaxis protein,STM3138,CCO-MEMBRANE
STM0586-MONOMER,enterochelin esterase,STM0586,CCI-CYTOSOL-GN
STM2761-MONOMER,putative inner membrane protein,STM2761,
STM0856-MONOMER,electron transfer flavoprotein subunit alpha,STM0856,
STM3257-MONOMER,"D-tagatose-1,6-bisphosphate aldolase subunit",STM3257,CCI-PM-BAC-NEG-GN
STM3518-MONOMER,RNA 3'-terminal-phosphate cyclase,STM3518,CCI-CYTOSOL-GN
STM3886-MONOMER,transcriptional repressor for rbs operon (GalR/LacI family),STM3886,
STM3633-MONOMER,LacI family transcriptional regulator,STM3633,
STM1234-MONOMER,,STM1234,
STM4288-MONOMER,VOC family protein,STM4288,
STM0978-MONOMER,3-phosphoshikimate 1-carboxyvinyltransferase,STM0978,CCI-CYTOSOL-GN
STM1610-MONOMER,putative nucleoside-diphosphate-sugar pyrophosphorylases,STM1610,
STM0186-MONOMER,RNA polymerase-binding protein,STM0186,CCI-CYTOSOL-GN
STM1352-MONOMER,oxidoreductase,STM1352,
STM1986-MONOMER,mannosyl-3-phosphoglycerate phosphatase,STM1986,CCI-CYTOSOL-GN
STM2360-MONOMER,,STM2360,
PSLT039-MONOMER,mono(ADP-ribosyl)transferase,PSLT039,CCI-CYTOSOL-GN // CCI-EXTRACELLULAR-GN
STM3122-MONOMER,putative arylsulfatase,STM3122,
STM2745-MONOMER,putative inner membrane protein,STM2745,
STM4024-MONOMER,,STM4024,CCI-CYTOSOL-GN
STM0840-MONOMER,sugar-phosphatase,STM0840,CCI-CYTOSOL-GN
STM3502-MONOMER,two-component system response regulator,STM3502,CCI-CYTOSOL-GN
STM4408-MONOMER,peptide-methionine (S)-S-oxide reductase,STM4408,CCI-CYTOSOL-GN
STM3870-MONOMER,F0F1 ATP synthase subunit c,STM3870,CCI-PM-BAC-NEG-GN
STM1218-MONOMER,lipoprotein ABC transporter ATP-binding protein,STM1218,CCI-PM-BAC-NEG-GN
STM1727-MONOMER,tryptophan synthase subunit alpha,STM1727,CCI-CYTOSOL-GN
STM1594-MONOMER,virulence factor,STM1594,
STM0170-MONOMER,hypoxanthine phosphoribosyltransferase,STM0170,CCI-CYTOSOL-GN
STM0312-MONOMER,transpeptidase,STM0312,
STM4275-MONOMER,acetate--CoA ligase,STM4275,CCI-CYTOSOL-GN
STM1968-MONOMER,flagellar hook-basal body complex protein,STM1968,CCO-CELL-PROJECTION
STM4021-MONOMER,sulfoquinovose isomerase,STM4021,
STM2344-MONOMER,PTS ascorbate transporter subunit IIA,STM2344,
STM3105-MONOMER,putative periplasmic protein,STM3105,
STM4405-MONOMER,putative transcriptional regulator,STM4405,
STM2729-MONOMER,Fels-2 prophage protein,STM2729,
STM0823-MONOMER,putative periplasmic protein,STM0823,
STM1724-MONOMER,anthranilate synthase component 2,STM1724,CCI-CYTOSOL-GN
STM3486-MONOMER,3-dehydroquinate synthase,STM3486,CCI-CYTOSOL-GN
STM3854-MONOMER,phosphate ABC transporter ATP-binding protein,STM3854,CCI-PM-BAC-NEG-GN
STM0309-MONOMER,putative acyl-CoA dehydrogenase,STM0309,CCI-PM-BAC-NEG-GN
STM1202-MONOMER,putative metal-dependent hydrolase,STM1202,CCI-CYTOSOL-GN
STM1578-MONOMER,nitrate reductase 2 subunit beta,STM1578,CCO-MEMBRANE
STM2103-MONOMER,undecaprenyl-phosphate glucose phosphotransferase,STM2103,CCO-MEMBRANE
STM0154-MONOMER,dihydrolipoyl dehydrogenase subunit,STM0154,
STM4259-MONOMER,putative ABC exporter outer membrane component-like protein,STM4259,CCO-MEMBRANE
STM2861-MONOMER,alkaline Mn<sup>2+</sup> ABC transporter substrate-binding protein,STM2861,
STM1952-MONOMER,amino acid ABC transporter permease,STM1952,CCI-PM-BAC-NEG-GN
STM2328-MONOMER,NADH-quinone oxidoreductase subunit A,STM2328,CCI-PM-BAC-NEG-GN
STM2481-MONOMER,aminoglycoside/multidrug transporter subunit,STM2481,CCI-PM-BAC-NEG-GN
STM3089-MONOMER,putative inner membrane protein,STM3089,CCO-MEMBRANE
STM2712-MONOMER,Fels-2 prophage protein,STM2712,
STM0567-MONOMER,DNA repair protein,STM0567,
STM0807-MONOMER,putative permease,STM0807,CCI-PM-BAC-NEG-GN
STM3470-MONOMER,cell filamentation protein,STM3470,
STM3237-MONOMER,putative cytoplasmic protein,STM3237,
STM3837-MONOMER,DNA polymerase III subunit beta,STM3837,CCI-CYTOSOL-GN
STM1185-MONOMER,ribonuclease E,STM1185,CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
STM3615-MONOMER,putative diguanylate cyclase/phosphodiesterase,STM3615,CCI-PM-BAC-NEG-GN
STM1562-MONOMER,acid-resistance protein,STM1562,CCI-PERI-BAC-GN
STM0138-MONOMER,DNA gyrase inhibitor,STM0138,
STM0958-MONOMER,thioredoxin-disulfide reductase,STM0958,CCI-CYTOSOL-GN
STM4243-MONOMER,tRNA dihydrouridine(20/20a) synthase,STM4243,
STM1933-MONOMER,putative ribose 5-phosphate isomerase,STM1933,
STM1333-MONOMER,threonine--tRNA ligase,STM1333,CCI-CYTOSOL-GN
STM0519-MONOMER,2-hydroxy-3-oxopropionate reductase,STM0519,
STM2312-MONOMER,GNAT family N-acetyltransferase,STM2312,
PSLT018-MONOMER,plasmid-encoded fimbriae; major fimbrial subunit,PSLT018,CCI-PILUS-GN
STM3073-MONOMER,cobalt ABC transporter permease,STM3073,CCI-PM-BAC-NEG-GN
STM2696-MONOMER,Fels-2 prophage protein,STM2696,
STM4005-MONOMER,nitrogen regulation protein NR(I),STM4005,CCI-CYTOSOL-GN
STM0789-MONOMER,histidine utilization repressor,STM0789,
STM3453-MONOMER,FKBP-type peptidyl-prolyl cis-trans isomerase,STM3453,
STM4389-MONOMER,putative outer membrane protein,STM4389,
STM3821-MONOMER,molecular chaperone,STM3821,CCI-CYTOSOL-GN
STM1169-MONOMER,virulence factor,STM1169,
STM1708-MONOMER,lipopolysaccharide assembly protein,STM1708,CCI-PM-BAC-NEG-GN
STM1545-MONOMER,putative multidrug efflux protein,STM1545,CCI-PM-BAC-NEG-GN
STM0122-MONOMER,peptidoglycan glycosyltransferase,STM0122,CCI-PM-BAC-NEG-GN
STM0291-MONOMER,putative RHS-family protein,STM0291,CCO-MEMBRANE
STM4227-MONOMER,maltose transporter permease,STM4227,CCI-PM-BAC-NEG-GN
STM4600-MONOMER,tRNA/rRNA methyltransferase,STM4600,CCI-CYTOSOL-GN
STM2087-MONOMER,abequosyltransferase,STM2087,
STM1916-MONOMER,two-component system response regulator,STM1916,CCI-CYTOSOL-GN
STM0503-MONOMER,iron export ABC transporter permease subunit,STM0503,CCI-PM-BAC-NEG-GN
STM2845-MONOMER,hydrogenase maturation peptidase,STM2845,
STM2296-MONOMER,histidine phosphatase family protein,STM2296,CCI-PERI-BAC-GN
STM3057-MONOMER,2-octaprenyl-6-methoxyphenyl hydroxylase,STM3057,
STM2465-MONOMER,ethanolamine utilization protein,STM2465,
STM2678-MONOMER,putative cytochrome c-type biogenesis protein,STM2678,CCI-PM-BAC-NEG-GN
STM0773-MONOMER,galactose-1-epimerase,STM0773,CCI-CYTOSOL-GN
STM0547-MONOMER,fimbrial adhesin,STM0547,CCI-PILUS-GN
STM3437-MONOMER,50S ribosomal protein L2,STM3437,CCI-RIBOSOME-GN
STM3804-MONOMER,putative inner membrane protein,STM3804,CCO-MEMBRANE
STM3221-MONOMER,putative metal-dependent hydrolase,STM3221,
STM1153-MONOMER,secY/secA suppressor protein,STM1153,
STM1529-MONOMER,putative inner membrane protein,STM1529,
STM3599-MONOMER,<i>N</i>-(1-deoxy-D-fructos-1-yl)-L-aspartate transporter,STM3599,CCI-PM-BAC-NEG-GN
STM0106-MONOMER,thiamine ABC transporter ATP-binding protein,STM0106,CCI-PM-BAC-NEG-GN
STM4211-MONOMER,phage tail tape measure protein,STM4211,
STM0939-MONOMER,ATP-dependent endonuclease,STM0939,
STM4584-MONOMER,inosine/xanthosine triphosphatase,STM4584,
STM1900-MONOMER,dihydroneopterin triphosphate diphosphatase,STM1900,
STM1317-MONOMER,carbohydrate deacetylase,STM1317,CCI-CYTOSOL-GN
STM0487-MONOMER,molecular chaperone,STM0487,
STM2280-MONOMER,MFS transporter,STM2280,CCI-PM-BAC-NEG-GN
PSLT002-MONOMER,putative phospholipase D,PSLT002,
STM3040-MONOMER,lysine--tRNA ligase,STM3040,CCI-CYTOSOL-GN
STM2661-MONOMER,hypothetical protein,STM2661,
STM3983-MONOMER,3-hydroxyacyl-coA dehydrogenase,STM3983,
STM0756-MONOMER,quinolinate synthase,STM0756,CCI-CYTOSOL-GN
STM3421-MONOMER,50S ribosomal protein L15,STM3421,CCI-RIBOSOME-GN
STM4373-MONOMER,putative cytoplasmic protein,STM4373,
STM3791-MONOMER,DUF4432 domain-containing protein,STM3791,
STM1137-MONOMER,molecular chaperone,STM1137,
STM1693-MONOMER,antimicrobial peptide ABC transporter permease,STM1693,CCI-PM-BAC-NEG-GN
STM1513-MONOMER,stress-induced acidophilic repeat motif-containing protein,STM1513,
STM0090-MONOMER,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase,STM0090,CCI-CYTOSOL-GN
STM0275-MONOMER,putative cytoplasmic protein,STM0275,
STM4195-MONOMER,pantothenate precursors transporter PanS,STM4195,CCI-PM-BAC-NEG-GN
STM4568-MONOMER,thymidine phosphorylase,STM4568,CCI-CYTOSOL-GN
STM2071-MONOMER,ATP phosphoribosyltransferase,STM2071,CCI-CYTOSOL-GN
STM1884-MONOMER,keto-deoxy-phosphogluconate aldolase,STM1884,
STM0471-MONOMER,putative inner membrane protein,STM0471,CCO-MEMBRANE
STM2829-MONOMER,recombinase,STM2829,CCI-CYTOSOL-GN
STM2263-MONOMER,multidrug ABC transporter permease/ATP-binding protein,STM2263,CCI-PM-BAC-NEG-GN
STM3023-MONOMER,Transcriptional repressor,STM3023,CCI-CYTOSOL-GN
STM2449-MONOMER,putative acetyltransferase,STM2449,
STM2640-MONOMER,RNA polymerase sigma factor,STM2640,CCI-CYTOSOL-GN
STM0735-MONOMER,"succinate dehydrogenase, Fe-S protein",STM0735,
STM0531-MONOMER,carboxylase,STM0531,
STM3405-MONOMER,DNA-protecting protein,STM3405,
STM3775-MONOMER,6-phospho-beta-glucosidase,STM3775,CCI-CYTOSOL-GN
STM3204-MONOMER,multifunctional CCA tRNA nucleotidyl transferase/2'3'-cyclic phosphodiesterase/2'nucleotidase/phosphatase,STM3204,
STM1119-MONOMER,"NAD(P)H:quinone oxidoreductase, type IV",STM1119,
STM1497-MONOMER,"dimethylsulfoxide reductase, chain B",STM1497,
STM3583-MONOMER,ACP synthase,STM3583,CCI-CYTOSOL-GN
STM0074-MONOMER,L-carnitine:gamma-butyrobetaine antiporter,STM0074,CCI-PM-BAC-NEG-GN
STM4175-MONOMER,phosphoribosylamine--glycine ligase,STM4175,
STM0923-MONOMER,putative Fels-1 prophage tail assembly protein,STM0923,CCO-MEMBRANE
STM4549-MONOMER,cys-tRNA(pro)/cys-tRNA(cys) deacylase,STM4549,
STM1869-MONOMER,Phage-tail assembly protein-like protein,STM1869,CCO-MEMBRANE
STM1301-MONOMER,NTP pyrophosphohydrolase,STM1301,
STM0454-MONOMER,thioesterase,STM0454,
STM2247-MONOMER,cytochrome c biogenesis protein,STM2247,CCI-PM-BAC-NEG-GN
STM3967-MONOMER,dienelactone hydrolase family protein,STM3967,
STM3007-MONOMER,putative POT family peptide transport protein,STM3007,CCI-PM-BAC-NEG-GN
STM2624-MONOMER,Gifsy-1 prophage protein,STM2624,
STM4357-MONOMER,"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaE subunit",STM4357,CCI-CYTOSOL-GN
STM0719-MONOMER,putative UDP-galactopyranose mutase,STM0719,CCI-CYTOSOL-GN
STM3383-MONOMER,ribosomal protein L11 methyltransferase,STM3383,CCI-CYTOSOL-GN
STM1677-MONOMER,putative LysR family transcriptional regulator,STM1677,
STM3759-MONOMER,putative transcriptional regulatory protein,STM3759,CCO-MEMBRANE
STM1103-MONOMER,"3,4-dihydroxyphenylacetate 2,3-dioxygenase",STM1103,
STM0259-MONOMER,SAM-dependent methyltransferase,STM0259,
STM1481-MONOMER,pheromone autoinducer 2 transporter,STM1481,CCO-MEMBRANE
STM0058-MONOMER,putative citrate lyase synthetase,STM0058,
STM2055-MONOMER,propanediol utilization protein,STM2055,
STM4159-MONOMER,thiamine biosynthesis protein,STM4159,
STM4533-MONOMER,methyl-accepting chemotaxis protein II,STM4533,CCI-PM-BAC-NEG-GN
STM2808-MONOMER,ribonucleoside-diphosphate reductase 2 subunit beta,STM2808,CCI-CYTOSOL-GN
STM1853-MONOMER,serine/threonine-protein phosphatase,STM1853,CCI-CYTOSOL-GN
STM0438-MONOMER,putative TPR repeat protein,STM0438,
STM2433-MONOMER,PTS system glucose-specific EIIA component,STM2433,CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
STM2231-MONOMER,ssrB-regulated factor,STM2231,
STM2991-MONOMER,N-acetylmuramoyl-L-alanine amidase,STM2991,CCI-PERI-BAC-GN
STM3188-MONOMER,putative glutathionylspermidine synthase,STM3188,
STM2607-MONOMER,Gifsy-1 prophage protein,STM2607,
STM0703-MONOMER,two-component system sensor histidine kinase,STM0703,CCI-PM-BAC-NEG-GN
STM3567-MONOMER,high-affinity branched-chain amino acid transporter,STM3567,CCI-PERI-BAC-GN
STM3367-MONOMER,transcriptional regulator,STM3367,
STM3742-MONOMER,"bifunctional GTP diphosphokinase/guanosine-3',5'-bis(diphosphate) 3'-diphosphatase",STM3742,CCI-PM-BAC-NEG-GN // CCI-CW-BAC-NEG-GN
STM0907-MONOMER,putative Fels-1 prophage chitinase,STM0907,
STM1087-MONOMER,virulence protein,STM1087,
STM1462-MONOMER,putative oxidoreductase,STM1462,
STM3951-MONOMER,DNA helicase II,STM3951,CCI-CYTOSOL-GN
STM0042-MONOMER,putative sodium galactoside symporter,STM0042,CCI-PM-BAC-NEG-GN
STM4137-MONOMER,UDP-N-acetylenolpyruvoylglucosamine reductase,STM4137,CCI-CYTOSOL-GN
STM4338-MONOMER,QacE family quaternary ammonium compound efflux SMR transporter,STM4338,CCI-PM-BAC-NEG-GN
STM4517-MONOMER,Multidrug resistance protein,STM4517,CCI-PM-BAC-NEG-GN
STM1837-MONOMER,cold-shock protein,STM1837,CCI-CYTOSOL-GN
STM1660-MONOMER,transcriptional regulator,STM1660,
STM0422-MONOMER,1-deoxy-D-xylulose-5-phosphate synthase,STM0422,CCI-CYTOSOL-GN
STM2214-MONOMER,bifunctional murein DD-endopeptidase/murein LD-carboxypeptidase,STM2214,
STM0236-MONOMER,tRNA(Ile)-lysidine synthase,STM0236,CCI-CYTOSOL-GN
STM2972-MONOMER,"exonuclease IX, 5'-3' exonuclease",STM2972,
STM2591-MONOMER,Gifsy-1 prophage protein,STM2591,
STM2039-MONOMER,propanediol utilization microcompartment assembly protein PduB,STM2039,
STM0686-MONOMER,glutamine--tRNA ligase,STM0686,CCI-CYTOSOL-GN
STM3351-MONOMER,oxaloacetate decarboxylase subunit beta,STM3351,CCI-PM-BAC-NEG-GN
STM2792-MONOMER,4-aminobutyrate--2-oxoglutarate transaminase,STM2792,CCI-CYTOSOL-GN
STM3726-MONOMER,DNA-formamidopyrimidine glycosylase,STM3726,
STM1070-MONOMER,porin,STM1070,CCI-OUTER-MEM-GN
STM2413-MONOMER,putative negative regulator,STM2413,
STM1446-MONOMER,anhydro-N-acetylmuramic acid kinase,STM1446,
STM0026-MONOMER,fimbrial protein,STM0026,CCI-PILUS-GN
STM3172-MONOMER,cell division protein,STM3172,CCI-PERI-BAC-GN
STM4115-MONOMER,[formate-C-acetyltransferase]-activating enzyme,STM4115,
STM4501-MONOMER,hypothetical protein,STM4501,
STM3551-MONOMER,gamma-glutamyltransferase,STM3551,
STM1821-MONOMER,ATP-dependent helicase,STM1821,
STM0406-MONOMER,preprotein translocase subunit,STM0406,CCI-PM-BAC-NEG-GN
STM0892-MONOMER,putative lipoprotein,STM0892,
STM2197-MONOMER,phosphoserine phosphatase,STM2197,CCI-CYTOSOL-GN
STM2955-MONOMER,putative transcriptional regulators containing the CopG/Arc/MetJ DNA-binding domain and a metal-binding domain,STM2955,
STM3930-MONOMER,amino acid permease,STM3930,CCI-PM-BAC-NEG-GN
